,player_id,player_name,Position,Shoots,Height,Weight,Birthday,Birthmonth,Birthyear,College,Last Season Games,Last Season Points,Last Season Total Rebound Percentage,Last Season Assists Percentage,Last Season Field Goal Percentage,Last Season 3pt Field Goal Percentage,Last Season TFree Throw Percentage,Last Season Effective Field Goal Percentage,Experience,Career Games,Career Points,Career Total Rebound Percentage,Career Assists Percentage,Career Field Goal Percentage,Career 3pt Field Goal Percentage,Career Free Throw Percentage,Career Effective Field Goal Percentage
0,gilgesh01,Shai Gilgeous-Alexander,"Point Guard , Shooting Guard",Right,6-6,200,12,July,1998,Kentucky,76,32.7,5.0,6.4,76,32.7,5.0,6.4,7,462,24.4,4.8,5.1,50.1,35.5,86.2,54.0
1,edwaran01,Anthony Edwards,Shooting Guard,Right,6-4,225,5,August,2001,Georgia,79,27.6,5.7,4.5,79,27.6,5.7,4.5,5,381,23.9,5.3,4.2,44.6,36.4,80.4,52.4
2,jokicni01,Nikola JokiÄ,Center,Right,6-11,284,19,February,1995,Colleges,70,29.6,12.7,10.2,70,29.6,12.7,10.2,10,745,21.8,10.9,7.2,56.0,36.0,82.4,59.6
3,antetgi01,Giannis Antetokounmpo,"Power Forward, Small Forward, Point Guard, , Shooting Guard",Right,6-11,242,6,December,1994,Colleges,67,30.4,11.9,6.5,67,30.4,11.9,6.5,12,859,23.9,9.9,5.0,55.1,28.4,69.3,57.0
4,tatumja01,Jayson Tatum,"Small Forward , Power Forward",Right,6-8,210,3,March,1998,Duke,72,26.8,8.7,6.0,72,26.8,8.7,6.0,8,585,23.6,7.3,3.8,45.9,37.0,84.0,53.3
5,bookede01,Devin Booker,"Shooting Guard , Point Guard",Right,6-6,206,30,October,1996,Kentucky,75,25.6,4.1,7.1,75,25.6,4.1,7.1,10,673,24.4,4.0,5.2,46.4,35.4,87.3,52.1
6,youngtr01,Trae Young,Point Guard,Right,6-1,164,19,September,1998,Oklahoma,76,24.2,3.1,11.6,76,24.2,3.1,11.6,7,483,25.3,3.5,9.8,43.3,35.2,87.3,50.4
7,herroty01,Tyler Herro,Shooting Guard,Right,6-5,195,20,January,2000,Kentucky,77,23.9,5.2,5.5,77,23.9,5.2,5.5,6,361,19.4,5.0,4.0,44.8,38.2,87.4,53.4
8,cunnica01,Cade Cunningham,"Point Guard , Shooting Guard",Right,6-6,220,25,September,2001,"Oklahoma,State",70,26.1,6.1,9.1,70,26.1,6.1,9.1,4,208,22.1,5.4,7.4,44.6,33.9,85.3,49.7
9,hardeja01,James Harden,"Point Guard , Shooting Guard",Left,6-5,220,26,August,1989,"Arizona,State",79,22.8,5.8,8.7,79,22.8,5.8,8.7,16,1151,24.1,5.6,7.2,43.9,36.3,86.1,52.5
10,townska01,Karl-Anthony Towns,"Center , Power Forward",Right,7-0,248,15,November,1995,Kentucky,72,24.4,12.8,3.1,72,24.4,12.8,3.1,10,645,23.1,11.1,3.2,52.4,40.0,83.7,57.7
11,lavinza01,Zach LaVine,"Shooting Guard, Small Forward, , Point Guard",Right,6-5,200,10,March,1995,UCLA,74,23.3,4.3,4.2,74,23.3,4.3,4.2,11,654,20.8,4.1,4.0,47.0,39.1,83.3,54.4
12,greenja05,Jalen Green,Shooting Guard,Right,6-4,178,9,February,2002,Colleges,82,21.0,4.6,3.4,82,21.0,4.6,3.4,4,307,20.1,4.3,3.4,42.2,34.2,79.9,49.8
13,curryst01,Stephen Curry,Point Guard,Right,6-2,185,14,March,1988,Davidson,70,24.5,4.4,6.0,70,24.5,4.4,6.0,16,1026,24.7,4.7,6.4,47.1,42.3,91.1,58.2
14,derozde01,DeMar DeRozan,"Shooting Guard, Small Forward, , Power Forward",Right,6-6,220,7,August,1989,USC,77,22.2,3.9,4.4,77,22.2,3.9,4.4,16,1187,21.3,4.4,4.1,46.9,30.0,84.2,48.5
