TeamName,Season,PlayerName,Player_id,Team_id,Pos,Wt,Birth,Exp,College
Oklahoma City Thunder,2024-25,Branden Carlson,carlsbr01,OKC,C,220,us US,0,Utah
Oklahoma City Thunder,2024-25,Alex Caruso,carusal01,OKC,SG,186,us US,7,Texas A&M
Oklahoma City Thunder,2024-25,Ousmane Dieng,diengou01,OKC,C,222,fr FR,2,unknown
Oklahoma City Thunder,2024-25,Luguentz Dort,dortlu01,OKC,SF,220,ca CA,5,Arizona State
Oklahoma City Thunder,2024-25,Alex Ducas,ducasal01,OKC,SG,222,au AU,0,Saint Mary's
Oklahoma City Thunder,2024-25,Adam Flagler,flaglad01,OKC,SG,195,us US,1,"Presbyterian College, Baylor"
Oklahoma City Thunder,2024-25,Shai Gilgeous-Alexander,gilgesh01,OKC,PG,200,ca CA,6,Kentucky
Oklahoma City Thunder,2024-25,Isaiah Hartenstein,harteis01,OKC,C,255,us US,6,unknown
Oklahoma City Thunder,2024-25,Chet Holmgren,holmgch01,OKC,C,213,us US,1,Gonzaga
Oklahoma City Thunder,2024-25,Isaiah Joe,joeis01,OKC,SG,181,us US,4,Arkansas
Oklahoma City Thunder,2024-25,Dillon Jones,jonesdi01,OKC,SF,240,us US,0,Weber State
Oklahoma City Thunder,2024-25,Malevy Leons,leonsma01,OKC,SF,205,nl NL,0,"Mineral Area College, Bradley"
Oklahoma City Thunder,2024-25,Ajay Mitchell,mitchaj01,OKC,SG,200,be BE,0,UC Santa Barbara
Oklahoma City Thunder,2024-25,Alex Reese,reeseal01,OKC,PF,245,us US,0,Alabama
Oklahoma City Thunder,2024-25,Cason Wallace,wallaca01,OKC,SG,205,us US,1,Kentucky
Oklahoma City Thunder,2024-25,Aaron Wiggins,wiggiaa01,OKC,SG,200,us US,3,Maryland
Oklahoma City Thunder,2024-25,Jalen Williams,willija06,OKC,SG,220,us US,2,Santa Clara
Oklahoma City Thunder,2024-25,Jaylin Williams,willija07,OKC,PF,250,us US,2,Arkansas
Oklahoma City Thunder,2024-25,Kenrich Williams,willike04,OKC,PF,210,us US,6,TCU
Boston Celtics,2023-24,Dalano Banton,bantoda01,BOS,PG,204,ca CA,2,Nebraska
Boston Celtics,2023-24,Oshae Brissett,brissos01,BOS,SF,210,ca CA,4,Syracuse
Boston Celtics,2023-24,Jaylen Brown,brownja02,BOS,SF,223,us US,7,California
Boston Celtics,2023-24,JD Davison,davisjd01,BOS,SG,195,us US,1,Alabama
Boston Celtics,2023-24,Sam Hauser,hausesa01,BOS,SF,215,us US,2,"Marquette, Virginia"
Boston Celtics,2023-24,Jrue Holiday,holidjr01,BOS,PG,205,us US,14,UCLA
Boston Celtics,2023-24,Al Horford,horfoal01,BOS,C,240,do DO,16,Florida
Boston Celtics,2023-24,Luke Kornet,kornelu01,BOS,C,250,us US,6,Vanderbilt
Boston Celtics,2023-24,Svi Mykhailiuk,mykhasv01,BOS,SF,205,ua UA,5,Kansas
Boston Celtics,2023-24,Drew Peterson,peterdr01,BOS,PF,205,us US,0,"Rice University, USC"
Boston Celtics,2023-24,Kristaps Porzi??is,porzikr01,BOS,C,240,lv LV,7,unknown
Boston Celtics,2023-24,Payton Pritchard,pritcpa01,BOS,PG,195,us US,3,Oregon
Boston Celtics,2023-24,Neemias Queta,quetane01,BOS,C,245,pt PT,2,Utah State University
Boston Celtics,2023-24,Jaden Springer,sprinja01,BOS,SG,204,us US,2,Tennessee
Boston Celtics,2023-24,Lamar Stevens,stevela01,BOS,PF,230,us US,3,Penn State
Boston Celtics,2023-24,Jayson Tatum,tatumja01,BOS,PF,210,us US,6,Duke
Boston Celtics,2023-24,Xavier Tillman Sr.,tillmxa01,BOS,PF,245,us US,3,Michigan State
Boston Celtics,2023-24,Jordan Walsh,walshjo01,BOS,SF,205,us US,0,Arkansas
Boston Celtics,2023-24,Derrick White,whitede01,BOS,SG,190,us US,6,"Colorado-Colorado Springs, Colorado"
Denver Nuggets,2022-23,Christian Braun,braunch01,DEN,SG,218,us US,0,Kansas
Denver Nuggets,2022-23,Bruce Brown,brownbr01,DEN,SF,202,us US,4,Miami (FL)
Denver Nuggets,2022-23,Thomas Bryant,bryanth01,DEN,C,248,us US,5,Indiana
Denver Nuggets,2022-23,Kentavious Caldwell-Pope,caldwke01,DEN,SG,204,us US,9,Georgia
Denver Nuggets,2022-23,Vlatko ?an?ar,cancavl01,DEN,PF,236,si SI,3,unknown
Denver Nuggets,2022-23,Aaron Gordon,gordoaa01,DEN,PF,235,us US,8,Arizona
Denver Nuggets,2022-23,Jeff Green,greenje02,DEN,PF,235,us US,14,Georgetown
Denver Nuggets,2022-23,Bones Hyland,hylanbo01,DEN,PG,173,us US,1,VCU
Denver Nuggets,2022-23,Reggie Jackson,jacksre01,DEN,PG,208,it IT,11,Boston College
Denver Nuggets,2022-23, Nikola Joki?,jokicni01,DEN,C,284,rs RS,7,unknown
Denver Nuggets,2022-23,DeAndre Jordan,jordade01,DEN,C,265,us US,14,Texas A&M
Denver Nuggets,2022-23,Jamal Murray,murraja01,DEN,PG,215,ca CA,5,Kentucky
Denver Nuggets,2022-23,Zeke Nnaji,nnajize01,DEN,PF,240,us US,2,Arizona
Denver Nuggets,2022-23,Michael Porter Jr.,portemi01,DEN,SF,218,us US,3,Missouri
Denver Nuggets,2022-23,Davon Reed,reedda01,DEN,SG,208,us US,3,Miami (FL)
Denver Nuggets,2022-23,Ish Smith,smithis01,DEN,PG,175,us US,12,Wake Forest
Denver Nuggets,2022-23,Peyton Watson,watsope01,DEN,SG,200,us US,0,UCLA
Denver Nuggets,2022-23,Jack White,whiteja03,DEN,SF,225,au AU,0,Duke
Golden State Warriors,2021-22,Nemanja Bjelica,bjeline01,GSW,C,234,rs RS,6,unknown
Golden State Warriors,2021-22,Chris Chiozza,chiozch01,GSW,PG,175,us US,3,Florida
Golden State Warriors,2021-22,Stephen Curry,curryst01,GSW,PG,185,us US,12,Davidson
Golden State Warriors,2021-22,Jeff Dowtin Jr.,dowtije01,GSW,PG,185,us US,0,Rhode Island
Golden State Warriors,2021-22,Draymond Green,greendr01,GSW,PF,230,us US,9,Michigan State
Golden State Warriors,2021-22,Andre Iguodala,iguodan01,GSW,SF,215,us US,17,Arizona
Golden State Warriors,2021-22,Jonathan Kuminga,kuminjo01,GSW,SF,210,cd CD,0,unknown
Golden State Warriors,2021-22,Damion Lee,leeda03,GSW,SG,210,us US,4,"Drexel, Louisville"
Golden State Warriors,2021-22,Kevon Looney,looneke01,GSW,C,222,us US,6,UCLA
Golden State Warriors,2021-22,Moses Moody,moodymo01,GSW,SG,205,us US,0,Arkansas
Golden State Warriors,2021-22,Gary Payton II,paytoga02,GSW,SG,190,us US,5,Oregon State
Golden State Warriors,2021-22,Jordan Poole,poolejo01,GSW,SG,194,us US,2,Michigan
Golden State Warriors,2021-22,Otto Porter Jr.,porteot01,GSW,PF,198,us US,8,Georgetown
Golden State Warriors,2021-22,Klay Thompson,thompkl01,GSW,SG,215,us US,8,Washington State
Golden State Warriors,2021-22,Juan Toscano-Anderson,toscaju01,GSW,SF,209,us US,2,Marquette
Golden State Warriors,2021-22,Quinndary Weatherspoon,weathqu01,GSW,SG,205,us US,2,Mississippi State
Golden State Warriors,2021-22,Andrew Wiggins,wiggian01,GSW,SF,197,ca CA,7,Kansas
Milwaukee Bucks,2020-21,Jaylen Adams,adamsja01,MIL,PG,225,us US,2,St. Bonaventure
Milwaukee Bucks,2020-21,Giannis Antetokounmpo,antetgi01,MIL,PF,242,gr GR,7,unknown
Milwaukee Bucks,2020-21,Thanasis Antetokounmpo,antetth01,MIL,SF,219,gr GR,2,unknown
Milwaukee Bucks,2020-21,D.J. Augustin,augusdj01,MIL,PG,183,us US,12,Texas
Milwaukee Bucks,2020-21,Elijah Bryant,bryanel01,MIL,SG,210,us US,0,"Elon University, BYU"
Milwaukee Bucks,2020-21,Pat Connaughton,connapa01,MIL,SG,209,us US,5,Notre Dame
Milwaukee Bucks,2020-21,Torrey Craig,craigto01,MIL,SF,221,us US,3,USC Upstate
Milwaukee Bucks,2020-21,Mamadi Diakite,diakima01,MIL,PF,228,gn GN,0,Virginia
Milwaukee Bucks,2020-21,Donte DiVincenzo,divindo01,MIL,SG,203,us US,2,Villanova
Milwaukee Bucks,2020-21,Bryn Forbes,forbebr01,MIL,SG,205,us US,4,Michigan State
Milwaukee Bucks,2020-21,Jrue Holiday,holidjr01,MIL,PG,205,us US,11,UCLA
Milwaukee Bucks,2020-21,Justin Jackson,jacksju01,MIL,SF,220,us US,3,UNC
Milwaukee Bucks,2020-21,Rodions Kurucs,kurucro01,MIL,SF,228,lv LV,2,unknown
Milwaukee Bucks,2020-21,Brook Lopez,lopezbr01,MIL,C,282,us US,12,Stanford
Milwaukee Bucks,2020-21,Sam Merrill,merrisa01,MIL,SG,205,us US,0,Utah State University
Milwaukee Bucks,2020-21,Khris Middleton,middlkh01,MIL,SF,222,us US,8,Texas A&M
Milwaukee Bucks,2020-21,Jordan Nwora,nworajo01,MIL,SF,225,us US,0,Louisville
Milwaukee Bucks,2020-21,Bobby Portis,portibo01,MIL,C,250,us US,5,Arkansas
Milwaukee Bucks,2020-21,Jeff Teague,teaguje01,MIL,PG,195,us US,11,Wake Forest
Milwaukee Bucks,2020-21,Axel Toupane,toupaax01,MIL,SF,197,fr FR,2,unknown
Milwaukee Bucks,2020-21,P.J. Tucker,tuckepj01,MIL,PF,245,us US,9,Texas
Milwaukee Bucks,2020-21,D.J. Wilson,wilsodj01,MIL,PF,231,us US,3,Michigan
Los Angeles Lakers,2019-20,Kostas Antetokounmpo,antetko01,LAL,PF,200,gr GR,1,Dayton
Los Angeles Lakers,2019-20,Avery Bradley,bradlav01,LAL,SG,180,us US,9,Texas
Los Angeles Lakers,2019-20,Devontae Cacok,cacokde01,LAL,C,240,us US,0,UNC Wilmington
Los Angeles Lakers,2019-20,Kentavious Caldwell-Pope,caldwke01,LAL,SG,204,us US,6,Georgia
Los Angeles Lakers,2019-20,Alex Caruso,carusal01,LAL,PG,186,us US,2,Texas A&M
Los Angeles Lakers,2019-20,Quinn Cook,cookqu01,LAL,PG,180,us US,3,Duke
Los Angeles Lakers,2019-20,Troy Daniels,danietr01,LAL,SG,200,us US,6,VCU
Los Angeles Lakers,2019-20,Anthony Davis,davisan02,LAL,PF,253,us US,7,Kentucky
Los Angeles Lakers,2019-20,Jared Dudley,dudleja01,LAL,PF,237,us US,12,Boston College
Los Angeles Lakers,2019-20,Danny Green,greenda02,LAL,SG,215,us US,10,UNC
Los Angeles Lakers,2019-20,Talen Horton-Tucker,hortota01,LAL,SG,234,us US,0,Iowa State
Los Angeles Lakers,2019-20,Dwight Howard,howardw01,LAL,C,265,us US,15,unknown
Los Angeles Lakers,2019-20,LeBron James,jamesle01,LAL,PG,250,us US,16,unknown
Los Angeles Lakers,2019-20,Kyle Kuzma,kuzmaky01,LAL,PF,221,us US,2,Utah
Los Angeles Lakers,2019-20,JaVale McGee,mcgeeja01,LAL,C,270,us US,11,Nevada
Los Angeles Lakers,2019-20,Markieff Morris,morrima02,LAL,PF,245,us US,8,Kansas
Los Angeles Lakers,2019-20,Zach Norvell,norveza01,LAL,SG,206,us US,0,Gonzaga
Los Angeles Lakers,2019-20,Rajon Rondo,rondora01,LAL,PG,180,us US,13,Kentucky
Los Angeles Lakers,2019-20,J.R. Smith,smithjr01,LAL,SG,225,us US,15,North Carolina A&T
Los Angeles Lakers,2019-20,Dion Waiters,waitedi01,LAL,SG,215,us US,7,Syracuse
Toronto Raptors,2018-19,OG Anunoby,anunoog01,TOR,SF,232,gb GB,1,Indiana
Toronto Raptors,2018-19,Chris Boucher,bouchch01,TOR,PF,200,lc LC,1,"New Mexico Junior College, Northwest College, Oregon"
Toronto Raptors,2018-19,Lorenzo Brown,brownlo01,TOR,PG,189,us US,4,NC State
Toronto Raptors,2018-19,Marc Gasol,gasolma01,TOR,C,255,es ES,10,unknown
Toronto Raptors,2018-19,Danny Green,greenda02,TOR,SG,215,us US,9,UNC
Toronto Raptors,2018-19,Serge Ibaka,ibakase01,TOR,C,235,cg CG,9,unknown
Toronto Raptors,2018-19,Kawhi Leonard,leonaka01,TOR,SF,225,us US,7,San Diego State
Toronto Raptors,2018-19,Jeremy Lin,linje01,TOR,PG,200,us US,8,Harvard University
