season,player_id,player_efficiency_rate,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,value_over_replacement_player
2019,harrito02,17.2,0.592,0.313,0.245,2.6,20.8,12.0,12.5,0.8,1.0,9.8,22.8,4.5,2.6,7.1,0.12,2.1,-0.5,2.6
2019,holidju01,10.0,0.52,0.598,0.136,1.9,11.9,6.8,8.1,2.3,1.2,11.2,15.7,-0.4,2.5,2.1,0.038,-2.3,0.5,0.1
2019,barneha02,12.8,0.55,0.429,0.271,2.4,12.7,7.5,6.7,0.9,0.4,7.9,20.9,2.0,1.6,3.6,0.068,-0.2,-1.2,0.4
2019,gasolma01,16.7,0.546,0.314,0.291,3.6,25.1,14.3,22.2,1.7,3.2,13.6,20.7,2.0,4.0,6.0,0.118,0.8,2.3,3.1
2019,arizatr01,12.1,0.534,0.59,0.223,2.3,15.2,8.6,14.8,1.8,0.7,11.6,16.6,1.3,1.2,2.5,0.052,-0.7,-0.6,0.4
2019,butleji01,20.2,0.571,0.213,0.404,6.0,10.5,8.3,18.0,2.7,1.4,8.2,22.3,5.4,2.5,7.9,0.173,2.8,0.9,3.2
2019,matthwe02,10.3,0.546,0.577,0.234,1.7,7.1,4.4,11.1,1.3,0.7,10.6,17.8,1.1,1.5,2.7,0.062,-1.4,-0.5,0.1
2019,hardati02,13.6,0.527,0.48,0.278,1.7,9.8,5.7,12.8,1.3,0.3,8.6,25.4,1.0,0.9,1.8,0.043,-0.1,-2.0,0.0
2019,jordade01,19.0,0.674,0.0,0.592,11.7,35.2,23.5,11.6,1.0,3.0,21.4,15.0,4.0,3.1,7.1,0.167,0.8,1.3,2.1
2019,templga01,8.5,0.543,0.535,0.217,1.5,10.2,5.8,7.4,1.8,1.4,11.5,13.2,0.3,2.0,2.2,0.052,-3.3,0.5,-0.4
2019,riverau01,7.7,0.503,0.572,0.166,1.3,7.5,4.4,11.5,1.1,1.0,10.0,14.5,0.4,0.8,1.2,0.028,-3.3,-1.0,-1.1
2019,saricda01,13.1,0.563,0.464,0.216,6.6,17.5,12.1,8.8,1.1,0.4,11.3,17.8,2.3,1.2,3.5,0.084,-0.3,-1.3,0.2
2019,oubreke01,15.2,0.551,0.401,0.29,4.0,14.6,9.2,6.8,2.1,2.5,9.8,23.2,0.9,1.3,2.2,0.054,-0.3,-0.9,0.4
2019,bradlav01,7.6,0.496,0.403,0.082,2.5,7.3,4.9,11.8,1.0,0.7,12.4,16.2,-0.6,1.0,0.3,0.009,-2.8,-0.9,-0.8
2019,hoodro01,12.3,0.545,0.352,0.231,1.4,7.9,4.6,10.0,1.5,0.5,6.9,18.1,2.1,0.5,2.6,0.065,-1.2,-0.8,0.0
2019,bullore01,10.5,0.563,0.662,0.143,1.2,8.8,4.9,10.1,1.0,0.5,9.3,15.8,1.6,1.4,3.1,0.078,-0.7,-0.4,0.4
2019,shamela01,11.0,0.604,0.711,0.167,1.3,6.4,3.9,9.0,1.0,0.4,7.0,15.0,2.7,0.9,3.6,0.095,-0.3,-1.3,0.2
2019,parkeja01,15.5,0.56,0.26,0.246,4.9,21.8,13.3,14.1,1.3,1.5,15.4,24.6,0.1,1.3,1.4,0.039,-0.7,-0.9,0.2
2019,wrighde01,15.5,0.523,0.301,0.269,4.4,12.8,8.6,21.6,2.5,1.6,11.0,18.1,1.9,2.4,4.3,0.121,0.1,1.4,1.5
2019,porteot01,15.9,0.569,0.398,0.149,3.4,17.0,10.1,10.6,2.3,1.6,8.7,19.1,1.8,1.5,3.2,0.093,0.8,0.1,1.2
2019,kanteen01,22.3,0.594,0.05,0.288,16.4,26.1,21.1,12.1,0.9,1.3,13.3,23.1,3.9,1.6,5.4,0.159,2.5,-1.5,1.2
2019,jacksju01,11.3,0.561,0.505,0.163,2.8,11.0,6.9,8.1,0.9,0.7,5.3,14.3,2.0,0.9,2.9,0.086,-0.8,-0.8,0.2
2019,johnsty01,12.4,0.532,0.494,0.241,2.4,9.8,6.1,15.9,1.7,1.6,11.7,18.5,0.9,1.4,2.3,0.071,-0.7,0.3,0.6
2019,smithde03,12.3,0.502,0.32,0.24,2.2,8.7,5.5,27.3,2.1,1.1,17.6,24.8,-1.2,1.2,0.0,0.001,-1.6,-0.4,0.0
2019,shumpim01,9.1,0.499,0.612,0.101,1.9,11.4,6.5,9.9,1.9,1.4,9.7,14.5,0.1,1.2,1.4,0.045,-2.4,0.5,0.0
2019,seldewa01,8.3,0.491,0.36,0.19,2.8,11.0,6.9,11.3,1.1,0.8,13.1,18.4,-1.0,0.8,-0.3,-0.009,-3.8,-1.6,-1.2
2019,linje01,13.5,0.558,0.346,0.388,1.6,11.7,6.6,23.4,1.5,0.8,16.4,21.8,1.2,0.9,2.1,0.07,-1.4,-0.9,-0.1
2019,scottmi01,8.6,0.528,0.6,0.079,3.4,17.2,10.5,6.4,0.9,0.7,9.2,14.4,0.4,1.2,1.6,0.053,-1.9,-0.7,-0.2
2019,burksal01,12.7,0.523,0.354,0.297,2.3,17.0,9.4,13.7,1.4,1.3,10.8,19.0,0.7,0.8,1.5,0.052,-0.6,-0.7,0.3
2019,greenja01,14.7,0.587,0.37,0.212,8.3,24.3,16.4,5.8,1.6,2.3,14.3,19.4,0.9,1.9,2.9,0.101,-1.3,-0.4,0.1
2019,korveky01,11.2,0.582,0.72,0.151,0.7,12.4,6.6,8.9,0.9,0.7,10.3,18.5,1.0,1.3,2.3,0.082,-0.2,-0.3,0.5
2019,muscami01,10.8,0.564,0.709,0.235,4.7,14.7,9.8,7.7,0.8,2.3,10.8,14.3,1.2,1.2,2.5,0.091,-0.8,-0.3,0.3
2019,hillge01,12.1,0.554,0.407,0.226,3.2,8.3,5.9,14.0,1.9,0.5,11.0,15.1,1.5,1.3,2.8,0.103,-1.9,0.5,0.2
2019,portibo01,16.1,0.529,0.304,0.154,9.0,24.9,16.8,8.8,1.3,1.3,9.9,24.6,0.5,1.1,1.6,0.06,-0.2,-2.3,-0.1
2019,ellinwa01,11.8,0.569,0.814,0.107,1.1,7.9,4.5,8.3,2.0,0.4,7.7,17.2,1.3,1.4,2.6,0.097,-0.3,0.3,0.7
2019,morrima02,11.7,0.521,0.419,0.19,5.0,17.5,11.1,8.8,1.3,1.5,9.3,19.1,0.6,1.1,1.6,0.061,-2.1,-0.6,-0.2
2019,macksh01,10.4,0.489,0.323,0.208,1.6,7.9,4.7,22.6,1.9,0.3,13.0,18.1,-0.2,1.1,0.9,0.034,-2.7,-0.4,-0.3
2019,mirotni01,17.2,0.584,0.587,0.229,5.1,22.6,14.0,6.2,1.2,2.2,7.4,21.4,2.0,1.4,3.5,0.133,2.1,-0.6,1.1
2019,ennisja01,11.0,0.59,0.531,0.276,5.3,10.9,8.1,4.7,1.6,1.6,9.3,12.7,1.6,1.0,2.6,0.103,-1.4,-0.2,0.1
2019,johnsst04,9.6,0.485,0.489,0.145,3.0,16.9,9.7,10.6,2.4,1.0,14.7,19.4,-1.1,1.6,0.5,0.021,-3.1,0.9,0.0
2019,covinro01,13.3,0.58,0.622,0.246,2.5,14.6,8.5,5.2,2.9,3.2,10.5,15.6,0.9,1.6,2.5,0.1,-0.5,2.1,1.1
2019,chandwi01,8.5,0.537,0.579,0.092,4.4,14.6,9.7,9.1,1.0,1.4,13.9,11.8,0.5,1.0,1.5,0.062,-2.3,-0.5,-0.2
2019,burketr01,16.5,0.524,0.29,0.226,2.6,6.7,4.6,24.1,1.4,0.5,7.5,24.8,1.4,0.5,1.9,0.081,1.5,-1.4,0.6
2019,fraziti01,11.7,0.544,0.387,0.207,3.9,11.5,7.7,27.6,1.2,0.4,21.1,13.3,1.3,0.7,2.0,0.084,-1.4,-0.4,0.1
2019,valanjo01,24.4,0.616,0.089,0.344,10.7,31.4,21.1,12.0,0.8,4.4,12.7,28.5,2.2,1.9,4.2,0.183,2.2,0.4,1.3
2019,simmojo02,8.5,0.466,0.297,0.277,2.7,10.0,6.3,16.7,1.3,1.2,14.8,18.7,-0.8,1.1,0.3,0.013,-3.9,-0.3,-0.6
2019,zubaciv01,18.9,0.604,0.0,0.332,11.9,24.2,18.2,9.1,0.6,4.0,13.9,20.3,1.9,1.3,3.2,0.148,-0.2,-0.2,0.4
2019,stausni01,10.9,0.545,0.556,0.189,1.9,11.7,6.8,11.1,1.0,0.6,12.2,17.6,0.6,0.5,1.1,0.052,-0.7,-1.2,0.0
2019,makerth01,11.3,0.53,0.571,0.313,4.5,17.4,11.0,6.3,1.0,4.4,9.8,14.8,0.5,1.5,2.0,0.099,-2.2,1.0,0.2
2019,chandty01,11.2,0.63,0.01,0.879,11.1,25.3,18.3,5.3,1.1,2.2,23.4,8.5,0.9,1.2,2.1,0.114,-2.9,0.8,0.0
2019,milescj01,9.0,0.504,0.653,0.186,1.7,10.3,6.1,6.0,1.5,1.5,8.2,18.6,-0.2,0.9,0.7,0.041,-2.4,-0.5,-0.2
2019,dellama01,11.1,0.532,0.537,0.215,0.8,9.9,5.2,31.9,0.8,0.2,20.4,17.9,0.5,0.0,0.5,0.028,-1.7,-2.8,-0.5
2019,dekkesa01,13.3,0.519,0.242,0.18,7.2,13.5,10.2,8.3,2.3,0.7,8.0,16.2,0.6,0.5,1.0,0.064,-1.0,-0.7,0.1
2019,knighbr03,8.9,0.484,0.496,0.131,1.4,7.7,4.4,14.4,1.4,0.2,9.8,18.1,-0.1,0.0,0.0,-0.002,-3.5,-2.0,-0.6
2019,farieke01,21.6,0.622,0.094,0.374,14.4,23.4,18.8,4.6,1.1,2.7,9.7,20.3,2.1,0.9,2.9,0.193,1.3,-1.5,0.3
2019,payneca01,11.5,0.519,0.377,0.184,2.0,9.2,5.5,21.8,1.9,1.1,15.7,17.6,0.1,0.3,0.5,0.031,-2.3,-0.7,-0.2
2019,dorsety01,11.2,0.509,0.5,0.231,4.2,13.7,8.9,12.4,1.0,0.3,8.5,19.7,0.2,0.4,0.6,0.043,-1.4,-2.1,-0.3
2019,marjabo01,24.2,0.664,0.038,0.504,14.0,26.9,20.6,12.8,1.1,3.1,15.7,23.3,2.1,0.9,3.0,0.212,2.8,0.3,0.9
2019,luwawti01,8.0,0.489,0.532,0.188,1.7,14.1,7.8,5.5,1.4,1.0,8.2,16.6,-0.3,0.5,0.2,0.015,-4.1,-1.1,-0.5
2019,canaais01,8.0,0.518,0.585,0.146,1.0,9.2,5.1,18.2,1.1,0.3,16.7,14.2,0.0,0.1,0.1,0.008,-2.7,-1.4,-0.3
2019,johnswe01,5.5,0.469,0.594,0.148,2.4,11.7,7.1,5.3,1.2,1.9,11.7,12.0,-0.3,0.3,0.0,0.001,-4.3,-0.5,-0.4
2019,chrisma01,9.2,0.455,0.4,0.25,8.6,23.6,15.8,6.5,1.7,1.9,15.3,20.6,-0.6,0.4,-0.2,-0.023,-5.7,-1.9,-0.7
2019,breweco01,11.6,0.532,0.358,0.35,5.4,10.7,8.0,10.2,3.0,1.2,11.8,13.6,0.4,0.6,1.0,0.095,-2.9,1.6,0.1
2019,monrogr01,16.0,0.521,0.026,0.381,15.4,22.9,19.3,8.1,1.4,1.4,12.7,22.6,0.4,0.7,1.1,0.108,-2.0,-1.3,-0.1
2019,mykhasv01,6.0,0.447,0.636,0.143,2.2,6.2,4.2,10.9,1.5,0.2,12.4,16.0,-0.4,0.3,-0.1,-0.012,-3.9,-1.1,-0.3
2019,leeco01,10.3,0.492,0.426,0.163,2.2,11.2,6.7,12.8,2.4,0.6,9.2,15.3,0.1,0.4,0.4,0.05,-3.4,0.8,-0.1
2019,mccawpa01,7.5,0.532,0.444,0.238,2.0,10.9,6.5,9.2,2.8,0.4,19.6,9.4,0.0,0.5,0.5,0.065,-4.8,1.9,-0.1
2019,cartemi01,14.7,0.458,0.309,0.431,5.4,15.0,10.1,26.5,2.6,3.4,12.0,19.4,0.2,0.6,0.8,0.099,-1.4,2.2,0.3
2019,gasolpa01,16.7,0.529,0.138,0.426,6.7,34.2,20.6,19.1,0.7,3.5,12.5,15.6,0.5,0.5,1.1,0.142,1.0,2.1,0.5
2019,jenkijo01,9.7,0.536,0.552,0.171,1.8,10.0,5.8,9.9,0.0,0.5,7.4,15.7,0.2,0.0,0.2,0.031,-1.0,-2.4,-0.1
2019,anderry01,4.6,0.414,0.58,0.232,6.1,12.5,9.2,7.8,0.6,0.3,15.5,12.0,-0.3,0.0,-0.2,-0.035,-4.5,-1.9,-0.4
2019,ellenhe01,13.1,0.538,0.4,0.263,2.0,25.5,13.4,9.6,1.3,0.7,7.8,19.0,0.2,0.2,0.4,0.077,-1.0,-0.5,0.0
2019,woodch01,21.9,0.607,0.222,0.479,7.2,26.5,17.0,4.8,1.3,3.2,10.7,26.1,0.4,0.3,0.8,0.151,1.4,-1.0,0.1
2019,smithja02,9.8,0.492,0.441,0.271,9.0,20.2,14.6,9.7,0.7,3.1,16.4,17.5,0.0,0.2,0.2,0.038,-3.7,-1.0,-0.1
2019,harrian01,5.8,0.443,0.472,0.34,3.4,8.5,5.8,17.1,1.1,0.9,16.5,16.8,-0.1,0.0,-0.1,-0.027,-5.8,-1.2,-0.2
2019,swanica01,4.7,0.377,0.132,0.17,10.2,27.6,19.1,8.0,1.6,0.5,24.0,17.7,-0.5,0.2,-0.2,-0.06,-7.1,0.0,-0.2
2019,labissk01,12.6,0.593,0.265,0.347,5.4,20.3,12.8,8.6,1.4,2.8,16.3,16.0,0.1,0.2,0.3,0.089,-2.9,-0.1,0.0
2019,bakerro01,2.5,0.309,0.65,0.3,0.7,7.1,3.8,12.8,1.9,0.6,18.1,7.8,-0.2,0.1,-0.1,-0.034,-7.7,0.7,-0.2
2019,spaldra01,14.6,0.516,0.064,0.255,11.1,25.1,18.0,5.1,2.9,4.5,14.7,17.8,0.0,0.2,0.2,0.051,-4.3,-0.8,-0.1
2019,nunnaja01,7.3,0.503,0.735,0.118,0.0,5.3,2.6,9.5,0.5,0.0,2.7,15.3,0.1,0.0,0.1,0.035,-1.9,-2.9,-0.1
2019,zellety01,17.3,0.607,0.033,0.6,12.9,15.7,14.2,6.7,0.5,3.1,9.5,20.1,0.2,0.1,0.3,0.167,-3.1,-1.9,-0.1
2019,evansja01,0.1,0.214,0.214,0.0,1.7,19.0,10.2,19.7,2.2,0.0,30.0,13.2,-0.2,0.0,-0.2,-0.151,-10.4,0.1,-0.1
2019,johnsbj01,12.8,0.609,0.389,0.111,4.2,13.2,8.6,0.0,1.9,0.0,9.6,17.4,0.0,0.0,0.1,0.066,-2.3,-2.0,0.0
2019,creekmi01,20.2,0.55,0.125,0.438,13.2,13.1,13.2,18.6,2.0,0.0,5.0,17.6,0.1,0.0,0.2,0.196,2.4,1.1,0.1
2019,moreler01,6.7,0.5,0.143,0.0,10.3,39.6,25.2,11.8,1.1,1.9,41.7,12.0,-0.1,0.1,0.0,0.032,-6.7,2.0,0.0
2019,terryem01,19.7,0.571,0.0,0.571,14.1,19.6,16.8,12.2,6.2,0.0,18.6,20.1,0.0,0.0,0.1,0.117,-0.2,2.4,0.0
2020,covinro01,13.3,0.559,0.664,0.172,3.0,20.2,11.4,5.9,2.5,3.7,11.7,17.0,0.7,3.0,3.7,0.083,-1.2,1.3,1.1
