season,rank,player_id,age,team_id,position,games_played,games_started,minutes_played,field_goals_made,field_goals_attempted,field_goal_pct,three_pointers_made,three_pointers_attempted,three_point_pct,two_pointers_made,two_pointers_attempted,two_point_pct,effective_fg_pct,free_throws_made,free_throws_attempted,free_throw_pct,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,triple_doubles
2019,20,harrito02,26,TOT,PF,82,82,2847,611,1254,0.487,156,393,0.397,455,861,0.528,0.549,266,307,0.866,69,576,645,229,51,37,151,184,1644,0
2019,50,barneha02,26,TOT,PF,77,77,2533,431,1027,0.42,174,441,0.395,257,586,0.439,0.504,229,278,0.824,57,304,361,115,50,13,98,122,1265,0
2019,58,butleji01,29,TOT,SG,65,65,2185,418,904,0.462,67,193,0.347,351,711,0.494,0.499,312,365,0.855,121,221,342,263,123,39,95,111,1215,0
2019,62,hardati02,26,TOT,SG,65,63,2057,390,993,0.393,162,477,0.34,228,516,0.442,0.474,232,276,0.841,33,189,222,159,54,8,105,141,1174,0
2020,36,wiggian01,24,TOT,SF,54,54,1858,437,978,0.447,111,334,0.332,326,644,0.506,0.504,190,268,0.709,66,208,274,198,45,53,132,127,1175,1
2020,52,clarkjo01,27,TOT,SG,71,2,1705,394,867,0.454,152,413,0.368,242,454,0.533,0.542,138,165,0.836,50,137,187,136,46,16,97,108,1078,0
2020,58,russeda01,23,TOT,PG,45,45,1452,360,846,0.426,158,431,0.367,202,415,0.487,0.519,161,199,0.809,17,160,177,285,48,13,147,86,1039,0
2020,60,morrima03,30,TOT,PF,62,62,1936,355,810,0.438,142,348,0.408,213,462,0.461,0.526,181,220,0.823,59,252,311,86,47,30,97,180,1033,0
2021,11,vucevni01,30,TOT,C,70,70,2348,666,1396,0.477,176,440,0.4,490,956,0.513,0.54,131,156,0.84,146,671,817,269,65,48,126,137,1639,2
2021,28,powelno01,27,TOT,SG,69,58,2205,438,918,0.477,171,416,0.411,267,502,0.532,0.57,236,271,0.871,42,173,215,129,82,18,119,160,1283,0
2021,50,hardeja01,31,TOT,PG,44,43,1609,342,734,0.466,121,334,0.362,221,400,0.553,0.548,278,323,0.861,35,313,348,475,53,33,177,99,1083,12
2021,62,leverca01,26,TOT,SG,47,39,1486,359,814,0.441,84,258,0.326,275,556,0.495,0.493,146,180,0.811,33,181,214,245,66,30,102,105,948,0
2022,25,hardeja01,32,TOT,PG,65,65,2419,407,992,0.41,148,448,0.33,259,544,0.476,0.485,470,536,0.877,55,445,500,667,82,36,284,153,1432,11
2022,31,mccolcj01,30,TOT,PG,62,62,2145,536,1164,0.46,182,469,0.388,354,695,0.509,0.539,116,170,0.682,53,216,269,315,70,22,127,121,1370,0
2022,46,hieldbu01,29,TOT,SG,81,32,2499,446,1098,0.406,262,716,0.366,184,382,0.482,0.526,111,127,0.874,66,287,353,229,73,25,153,184,1265,0
2022,56,halibty01,21,TOT,PG,77,77,2695,430,909,0.473,161,389,0.414,269,520,0.517,0.562,160,190,0.842,61,250,311,628,134,49,199,121,1181,0
2022,58,sabondo01,25,TOT,PF,62,61,2136,443,773,0.573,39,125,0.312,404,648,0.623,0.598,246,332,0.741,201,551,752,323,59,27,195,203,1171,5
2023,20,bridgmi01,26,TOT,SG,83,83,2963,593,1267,0.468,169,442,0.382,424,825,0.514,0.535,316,353,0.895,79,285,364,273,91,61,127,159,1671,0
2023,23,irvinky01,30,TOT,SG,60,60,2241,594,1203,0.494,188,496,0.379,406,707,0.574,0.572,247,273,0.905,59,245,304,331,66,45,128,165,1623,0
2023,41,dinwisp01,29,TOT,SG,79,79,2725,460,1050,0.438,181,490,0.369,279,560,0.498,0.524,268,330,0.812,28,242,270,515,67,24,145,187,1369,0
2023,42,duranke01,34,TOT,PF,47,47,1672,483,862,0.56,93,230,0.404,390,632,0.617,0.614,307,334,0.919,17,296,313,235,34,67,156,99,1366,1
2023,57,russeda01,26,TOT,PG,71,71,2304,445,948,0.469,194,490,0.396,251,458,0.548,0.572,179,216,0.829,35,180,215,437,70,29,186,140,1263,0
2024,19,siakapa01,29,TOT,PF,80,80,2657,681,1271,0.536,85,246,0.346,596,1025,0.581,0.569,290,396,0.732,139,426,565,342,63,25,141,193,1737,1
2024,64,roziete01,29,TOT,SG,61,60,2040,442,998,0.443,149,410,0.363,293,588,0.498,0.518,172,198,0.869,35,212,247,342,63,21,106,101,1205,0
2025,12,lavinza01,29,TOT,SG,74,74,2602,625,1223,0.511,239,536,0.446,386,687,0.562,0.609,235,285,0.825,22,293,315,310,58,12,208,121,1724,0
2025,26,foxde01,27,TOT,PG,62,62,2241,539,1163,0.463,118,381,0.31,421,782,0.538,0.514,263,318,0.827,54,244,298,392,91,25,174,164,1459,0
2025,33,doncilu01,25,TOT,PG,50,50,1769,461,1025,0.45,177,481,0.368,284,544,0.522,0.536,309,395,0.782,40,369,409,383,89,21,179,126,1408,5
2025,51,davisan02,31,TOT,C,51,51,1706,470,910,0.516,35,124,0.282,435,786,0.553,0.536,286,369,0.775,134,456,590,181,59,110,113,98,1261,1
