player_id,player_name,shoots,draft_team_name,experience,nba_debut,position_1,position_2,position_3,position_4,position_5,position_6,draft_year,height_cm,weight_kg,age,draft_round_pick_rank,draft_overall_pick_rank,career_points,career_total_rebound_pct,career_assists_pct,career_field_goal_pct,career_three_point_pct,career_free_throw_pct,career_effective_fg_pct,career_per,career_win_shares
hardeja01,james harden,left,oklahoma city thunder,16.0,2009,point guard,shooting guard,,,,,2009,196.0,100.0,36,3,3,24.1,5.6,7.2,43.9,36.3,86.1,52.5,23.7,174.7
georgpa01,paul george,right,indiana pacers,15.0,2010,small forward,power forward,,shooting guard,,,2010,203.0,100.0,35,10,10,20.6,6.3,3.7,44.0,38.3,85.3,52.0,19.2,89.5
walkeke02,kemba walker,right,charlotte bobcats,,2011,point guard,,,,,,2011,183.0,83.0,35,9,9,,,,,,,,,
bealbr01,bradley beal,right,washington wizards,13.0,2012,shooting guard,,,,,,2012,193.0,94.0,32,3,3,21.5,4.1,4.3,46.4,37.6,82.1,52.7,18.0,58.6
lillada01,damian lillard,right,portland trail blazers,13.0,2012,point guard,,,,,,2012,188.0,88.0,35,6,6,25.1,4.3,6.7,43.9,37.1,89.9,52.3,22.2,118.4
duranke01,kevin durant,right,seattle supersonics,17.0,2007,small forward,power forward,,shooting guard,,,2007,211.0,109.0,37,2,2,27.2,7.0,4.4,50.2,39.0,88.2,55.4,24.8,175.4
antetgi01,giannis antetokounmpo,right,milwaukee bucks,12.0,2013,power forward,small forward,point guard,,shooting guard,,2013,211.0,110.0,31,15,15,23.9,9.9,5.0,55.1,28.4,69.3,57.0,25.8,120.8
curryst01,stephen curry,right,golden state warriors,16.0,2009,point guard,,,,,,2009,188.0,84.0,37,7,7,24.7,4.7,6.4,47.1,42.3,91.1,58.2,23.5,143.1
townska01,karl-anthony towns,right,minnesota timberwolves,10.0,2015,center,power forward,,,,,2015,213.0,112.0,30,1,1,23.1,11.1,3.2,52.4,40.0,83.7,57.7,23.8,85.1
griffbl01,blake griffin,right,los angeles clippers,,2010,power forward,center,,,,,2009,206.0,113.0,36,1,1,,,,,,,,,
mitchdo01,donovan mitchell,right,denver nuggets,8.0,2017,shooting guard,point guard,,,,,2017,190.0,97.0,29,13,13,24.7,4.3,4.7,44.9,36.6,84.0,52.6,20.0,51.9
embiijo01,joel embiid,right,philadelphia 76ers,9.0,2016,center,,,,,,2014,213.0,127.0,31,3,3,27.7,11.0,3.7,50.1,33.9,82.8,53.4,28.2,64.9
aldrila01,lamarcus aldridge,right,chicago bulls,,2006,power forward,center,,,,,2006,211.0,113.0,40,2,2,,,,,,,,,
russeda01,d'angelo russell,left,los angeles lakers,10.0,2015,point guard,,,,,,2015,190.0,87.0,29,2,2,17.3,3.4,5.7,42.7,36.5,79.6,51.3,16.2,26.5
bookede01,devin booker,right,phoenix suns,10.0,2015,shooting guard,point guard,,,,,2015,198.0,93.0,29,13,13,24.4,4.0,5.2,46.4,35.4,87.3,52.1,18.9,51.5
hieldbu01,buddy hield,right,new orleans pelicans,9.0,2016,shooting guard,small forward,,,,,2016,193.0,100.0,33,6,6,15.0,4.1,2.5,43.3,39.7,85.8,55.1,14.3,27.7
thompkl01,klay thompson,right,golden state warriors,12.0,2011,shooting guard,small forward,,,,,2011,196.0,97.0,35,11,11,19.1,3.5,2.3,45.1,41.1,86.0,54.9,15.8,57.1
westbru01,russell westbrook,right,seattle supersonics,17.0,2008,point guard,,,,,,2008,193.0,91.0,37,4,4,21.2,7.0,8.0,43.9,30.5,77.2,47.1,21.6,112.5
vucevni01,nikola vuäeviä,right,philadelphia 76ers,14.0,2011,center,,,,,,2011,208.0,118.0,35,16,16,17.2,10.5,2.9,49.7,34.8,77.0,52.9,20.1,79.9
harrito02,tobias harris,right,charlotte bobcats,14.0,2012,power forward,small forward,,,,,2011,203.0,102.0,33,19,19,16.1,6.2,2.4,47.8,36.6,83.6,53.1,16.5,75.3
derozde01,demar derozan,right,toronto raptors,16.0,2009,shooting guard,small forward,,power forward,,,2009,198.0,100.0,36,9,9,21.3,4.4,4.1,46.9,30.0,84.2,48.5,18.9,108.5
jokicni01,nikola jokiä,right,denver nuggets,10.0,2015,center,,,,,,2014,211.0,129.0,30,11,41,21.8,10.9,7.2,56.0,36.0,82.4,59.6,28.5,128.0
irvinky01,kyrie irving,right,cleveland cavaliers,14.0,2011,point guard,shooting guard,,,,,2011,188.0,88.0,33,1,1,23.7,4.1,5.6,47.4,39.4,88.8,54.0,22.2,91.0
leonaka01,kawhi leonard,right,indiana pacers,13.0,2011,small forward,,,,,,2011,201.0,102.0,34,15,15,20.1,6.4,3.1,49.9,39.2,86.0,55.4,23.2,102.7
randlju01,julius randle,left,los angeles lakers,11.0,2014,power forward,center,,,,,2014,206.0,113.0,31,7,7,19.0,9.1,3.8,47.1,33.4,75.3,51.2,18.1,49.6
youngtr01,trae young,right,dallas mavericks,7.0,2018,point guard,,,,,,2018,185.0,74.0,27,5,5,25.3,3.5,9.8,43.3,35.2,87.3,50.4,21.3,43.3
doncilu01,luka donäiä,right,atlanta hawks,7.0,2018,point guard,shooting guard,,,,,2018,198.0,104.0,26,3,3,28.6,8.6,8.2,46.8,35.0,75.1,54.2,25.5,57.1
jamesle01,lebron james,right,cleveland cavaliers,22.0,2003,small forward,power forward,point guard,center,,shooting guard,2003,206.0,113.0,41,1,1,27.0,7.5,7.4,50.6,34.9,73.7,54.8,26.9,271.4
willilo02,lou williams,right,philadelphia 76ers,,2005,point guard,shooting guard,,,,,2005,188.0,79.0,39,15,45,,,,,,,,,
lavinza01,zach lavine,right,minnesota timberwolves,11.0,2014,shooting guard,small forward,,point guard,,,2014,196.0,91.0,30,13,13,20.8,4.1,4.0,47.0,39.1,83.3,54.4,17.3,37.3
conlemi01,mike conley,left,memphis grizzlies,18.0,2007,point guard,,,,,,2007,183.0,79.0,38,4,4,14.1,2.9,5.7,43.8,38.9,82.5,51.1,17.1,105.7
mccolcj01,cj mccollum,right,portland trail blazers,12.0,2014,shooting guard,point guard,,,,,2013,190.0,86.0,34,10,10,19.6,3.6,3.8,45.3,39.7,79.9,53.0,17.3,52.0
bogdabo02,bojan bogdanoviä,right,miami heat,10.0,2014,small forward,power forward,,,,,2011,201.0,102.0,36,1,31,,,,,,,,,
davisan02,anthony davis,right,new orleans hornets,13.0,2012,center,power forward,,,,,2012,208.0,115.0,32,1,1,24.1,10.7,2.6,52.2,29.6,79.4,53.6,26.8,118.8
holidjr01,jrue holiday,right,philadelphia 76ers,16.0,2009,point guard,shooting guard,,,,,2009,193.0,93.0,35,17,17,15.8,4.2,6.2,46.2,37.0,78.8,51.8,17.0,74.6
middlkh01,khris middleton,right,detroit pistons,13.0,2012,small forward,shooting guard,,,,,2012,201.0,101.0,34,9,39,16.6,4.8,4.0,46.0,38.7,87.8,52.9,16.7,57.9
foxde01,de'aaron fox,left,sacramento kings,8.0,2017,point guard,,,,,,2017,190.0,84.0,28,5,5,21.5,3.9,6.1,47.0,33.0,74.6,51.5,18.6,33.9
redicjj01,jj redick,right,orlando magic,,2006,shooting guard,point guard,,,,,2006,190.0,91.0,41,11,11,,,,,,,,,
sextoco01,collin sexton,right,cleveland cavaliers,7.0,2018,shooting guard,point guard,,,,,2018,190.0,86.0,26,8,8,18.8,2.8,3.7,47.0,38.7,83.8,52.2,16.2,15.8
drumman01,andre drummond,right,detroit pistons,13.0,2012,center,,,,,,2012,211.0,126.0,32,9,9,12.5,12.1,1.2,54.2,12.9,48.6,54.3,21.7,76.6
murraja01,jamal murray,right,denver nuggets,8.0,2016,point guard,shooting guard,,,,,2016,193.0,97.0,28,7,7,18.0,3.8,4.7,45.5,38.1,87.0,52.9,17.0,38.1
clarkjo01,jordan clarkson,right,washington wizards,11.0,2014,shooting guard,point guard,,,,,2014,190.0,88.0,33,16,46,16.0,3.4,2.9,43.6,33.6,82.9,50.4,15.3,24.0
harremo01,montrezl harrell,right,houston rockets,8.0,2015,center,power forward,,,,,2015,201.0,109.0,31,2,32,,,,,,,,,
