season,league,champion_name,mvp,rookie_of_the_year,most_points,most_rebounds,most_assists,most_winshares
2025,NBA,Oklahoma City Thunder,S. Gilgeous-Alexander,S. Castle,S. Gilgeous-Alexander,I. Zubac,T. Young,S. Gilgeous-Alexander
2024,NBA,Boston Celtics,N. Jokić,V. Wembanyama,L. Dončić,D. Sabonis,T. Haliburton,N. Jokić
2023,NBA,Denver Nuggets,J. Embiid,P. Banchero,J. Tatum,D. Sabonis,T. Young,N. Jokić
2022,NBA,Golden State Warriors,N. Jokić,S. Barnes,T. Young,N. Jokić,T. Young,N. Jokić
2021,NBA,Milwaukee Bucks,N. Jokić,L. Ball,S. Curry,R. Gobert,R. Westbrook,N. Jokić
2020,NBA,Los Angeles Lakers,G. Antetokounmpo,J. Morant,J. Harden,R. Gobert,L. James,J. Harden
2019,NBA,Toronto Raptors,G. Antetokounmpo,L. Dončić,J. Harden,A. Drummond,R. Westbrook,J. Harden
2018,NBA,Golden State Warriors,J. Harden,B. Simmons,L. James,A. Drummond,R. Westbrook,J. Harden
2017,NBA,Golden State Warriors,R. Westbrook,M. Brogdon,R. Westbrook,A. Drummond,J. Harden,J. Harden
2016,NBA,Cleveland Cavaliers,S. Curry,K. Towns,J. Harden,A. Drummond,R. Rondo,S. Curry
2015,NBA,Golden State Warriors,S. Curry,A. Wiggins,J. Harden,D. Jordan,C. Paul,J. Harden
2014,NBA,San Antonio Spurs,K. Durant,M. Carter-Williams,K. Durant,D. Jordan,J. Wall,K. Durant
2013,NBA,Miami Heat,L. James,D. Lillard,K. Durant,Ö. Aşık,G. Vásquez,L. James
2012,NBA,Miami Heat,L. James,K. Irving,K. Durant,D. Howard,S. Nash,L. James
2011,NBA,Dallas Mavericks,D. Rose,B. Griffin,K. Durant,K. Love,S. Nash,L. James
2010,NBA,Los Angeles Lakers,L. James,T. Evans,K. Durant,D. Howard,S. Nash,L. James
2009,NBA,Los Angeles Lakers,L. James,D. Rose,D. Wade,D. Howard,C. Paul,L. James
2008,NBA,Boston Celtics,K. Bryant,K. Durant,K. Bryant,D. Howard,C. Paul,C. Paul
2007,NBA,San Antonio Spurs,D. Nowitzki,B. Roy,K. Bryant,D. Howard,S. Nash,D. Nowitzki
2006,NBA,Miami Heat,S. Nash,C. Paul,K. Bryant,D. Howard,S. Nash,D. Nowitzki
2005,NBA,San Antonio Spurs,S. Nash,E. Okafor,A. Iverson,K. Garnett,S. Nash,K. Garnett
2004,NBA,Detroit Pistons,K. Garnett,L. James,K. Garnett,K. Garnett,S. Marbury,K. Garnett
2003,NBA,San Antonio Spurs,T. Duncan,A. Stoudemire,K. Bryant,B. Wallace,J. Kidd,T. Duncan
2002,NBA,Los Angeles Lakers,T. Duncan,P. Gasol,P. Pierce,T. Duncan,A. Miller,T. Duncan
2001,NBA,Los Angeles Lakers,A. Iverson,M. Miller,J. Stackhouse,B. Wallace,J. Kidd,S. O'Neal
2000,NBA,Los Angeles Lakers,S. O'Neal,E. Brand,S. O'Neal,D. Mutombo,G. Payton,S. O'Neal
