player_id,slot,position,position_code
abrinal01,1,Shooting Guard,SG
achiupr01,1,Center,C
achiupr01,2,Power Forward,PF
acyqu01,1,Power Forward,PF
acyqu01,2,Small Forward,SF
adamsja01,1,Point Guard,PG
adamsst01,1,Center,C
adebaba01,1,Center,C
adebaba01,2,Power Forward,PF
adelde01,1,Small Forward,SF
agbajoc01,1,Shooting Guard,SG
akoonde01,1,Shooting Guard,SG
aldamsa01,1,Power Forward,PF
aldrila01,1,Power Forward,PF
aldrila01,2,Center,C
alexaky01,1,Center,C
alexani01,1,Shooting Guard,SG
alexatr01,1,Shooting Guard,SG
alexaty01,1,Shooting Guard,SG
alkinra01,1,Shooting Guard,SG
allengr01,1,Shooting Guard,SG
allenja01,1,Center,C
allenka01,1,Point Guard,PG
allenti01,1,Small Forward,SF
alvarjo01,1,Point Guard,PG
aminual01,1,Power Forward,PF
aminual01,2,Small Forward,SF
anderju01,1,Small Forward,SF
anderju01,2,Shooting Guard,SG
anderky01,1,Small Forward,SF
anderky01,2,Power Forward,PF
anderry01,1,Power Forward,PF
anderry01,2,Center,C
anigbik01,1,Center,C
antetgi01,1,Power Forward,PF
antetgi01,2,Small Forward,SF
antetgi01,3,Point Guard,PG
antetgi01,4,Shooting Guard,SG
antetko01,1,Power Forward,PF
antetko01,2,Small Forward,SF
antetth01,1,Small Forward,SF
antetth01,2,Power Forward,PF
anthoca01,1,Small Forward,SF
anthoca01,2,Power Forward,PF
anthoco01,1,Point Guard,PG
anunoog01,1,Small Forward,SF
anunoog01,2,Power Forward,PF
arcidry01,1,Point Guard,PG
arizatr01,1,Small Forward,SF
arizatr01,2,Shooting Guard,SG
armeltr01,1,Small Forward,SF
augusdj01,1,Point Guard,PG
avdijde01,1,Small Forward,SF
ayayijo01,1,Shooting Guard,SG
aytonde01,1,Center,C
azubuud01,1,Center,C
bacondw01,1,Shooting Guard,SG
badjiib01,1,Center,C
baglema01,1,Center,C
baglema01,2,Power Forward,PF
baglema02,1,Small Forward,SF
baileam01,1,Point Guard,PG
bakerro01,1,Shooting Guard,SG
baldwpa01,1,Small Forward,SF
baldwwa01,1,Point Guard,PG
ballla01,1,Point Guard,PG
balllo01,1,Point Guard,PG
bambamo01,1,Center,C
banchpa01,1,Power Forward,PF
banede01,1,Shooting Guard,SG
bantoda01,1,Point Guard,PG
barbeca01,1,Point Guard,PG
bareajo01,1,Point Guard,PG
bareajo01,2,Shooting Guard,SG
barlodo01,1,Small Forward,SF
barlodo01,2,Power Forward,PF
barneha02,1,Power Forward,PF
barneha02,2,Small Forward,SF
barnesc01,1,Power Forward,PF
barnesc01,2,Shooting Guard,SG
barnesc01,3,Small Forward,SF
barrerj01,1,Shooting Guard,SG
barrerj01,2,Small Forward,SF
bartowi01,1,Shooting Guard,SG
bartowi01,2,Small Forward,SF
bassech01,1,Center,C
basspa01,1,Small Forward,SF
batesem01,1,Small Forward,SF
bateske01,1,Small Forward,SF
bateske01,2,Power Forward,PF
battlja01,1,Small Forward,SF
batumni01,1,Small Forward,SF
batumni01,2,Power Forward,PF
batumni01,3,Shooting Guard,SG
baughda01,1,Shooting Guard,SG
bayleje01,1,Point Guard,PG
bayleje01,2,Shooting Guard,SG
baynear01,1,Center,C
bazemke01,1,Shooting Guard,SG
bazemke01,2,Small Forward,SF
bazleda01,1,Power Forward,PF
bazleda01,2,Center,C
bealbr01,1,Shooting Guard,SG
beaslma01,1,Shooting Guard,SG
beaslmi01,1,Power Forward,PF
beaslmi01,2,Small Forward,SF
beaucma01,1,Small Forward,SF
beekmre01,1,Point Guard,PG
belinma01,1,Shooting Guard,SG
belinma01,2,Small Forward,SF
belljo01,1,Center,C
bembrde01,1,Small Forward,SF
bembrde01,2,Shooting Guard,SG
bendedr01,1,Power Forward,PF
bendedr01,2,Center,C
bernaju01,1,Shooting Guard,SG
bertada01,1,Power Forward,PF
bertada02,1,Shooting Guard,SG
beverpa01,1,Point Guard,PG
beverpa01,2,Shooting Guard,SG
beysa01,1,Small Forward,SF
beyty01,1,Small Forward,SF
birchkh01,1,Center,C
bitadgo01,1,Center,C
bitimon01,1,Shooting Guard,SG
biyombi01,1,Center,C
bjeline01,1,Power Forward,PF
bjeline01,2,Center,C
blackan01,1,Point Guard,PG
blackle01,1,Small Forward,SF
blakean01,1,Shooting Guard,SG
bledser01,1,Point Guard,PG
bledser01,2,Shooting Guard,SG
blevike01,1,Small Forward,SF
blossja01,1,Small Forward,SF
boehebu01,1,Small Forward,SF
bogdabo01,1,Shooting Guard,SG
bogdabo02,1,Small Forward,SF
bogdabo02,2,Power Forward,PF
bogutan01,1,Center,C
bogutan01,2,Power Forward,PF
bolbo01,1,Power Forward,PF
boldejo01,1,Center,C
boldejo01,2,Power Forward,PF
boldema01,1,Center,C
bolmale01,1,Small Forward,SF
bolmale01,2,Shooting Guard,SG
