season,league,champion_team_id,rookie_of_the_year,most_points,most_rebounds,most_assists,most_winshares
1947,BAA,phw,,J. Fulks,,E. Calverley,B. Feerick
1948,BAA,blb,P. Hoffman,M. Zaslofsky,,H. Dallmar,B. Feerick
1949,BAA,mnl,H. Shannon,G. Mikan,,B. Davies,G. Mikan
1950,NBA,mnl,A. Groza,G. Mikan,,D. McGuire,G. Mikan
1951,NBA,roc,P. Arizin,G. Mikan,D. Schayes,A. Phillip,G. Mikan
1952,NBA,mnl,M. Hutchins,P. Arizin,L. Foust,A. Phillip,P. Arizin
1953,NBA,mnl,M. Meineke,N. Johnston,G. Mikan,B. Cousy,N. Johnston
1954,NBA,mnl,R. Felix,N. Johnston,H. Gallatin,B. Cousy,N. Johnston
1955,NBA,syr,B. Pettit,N. Johnston,N. Johnston,B. Cousy,N. Johnston
1956,NBA,phw,M. Stokes,B. Pettit,B. Pettit,B. Cousy,N. Johnston
1957,NBA,bos,T. Heinsohn,P. Arizin,M. Stokes,B. Cousy,N. Johnston
1958,NBA,stl,W. Sauldsberry,G. Yardley,B. Russell,B. Cousy,D. Schayes
1959,NBA,bos,E. Baylor,B. Pettit,B. Russell,B. Cousy,B. Pettit
1960,NBA,bos,W. Chamberlain,W. Chamberlain,W. Chamberlain,B. Cousy,W. Chamberlain
1961,NBA,bos,O. Robertson,W. Chamberlain,W. Chamberlain,O. Robertson,W. Chamberlain
1962,NBA,bos,W. Bellamy,W. Chamberlain,W. Chamberlain,O. Robertson,W. Chamberlain
1963,NBA,bos,T. Dischinger,W. Chamberlain,W. Chamberlain,G. Rodgers,W. Chamberlain
1964,NBA,bos,J. Lucas,W. Chamberlain,B. Russell,O. Robertson,W. Chamberlain
1965,NBA,bos,W. Reed,W. Chamberlain,B. Russell,O. Robertson,O. Robertson
1966,NBA,bos,R. Barry,W. Chamberlain,W. Chamberlain,O. Robertson,W. Chamberlain
1967,NBA,phi,D. Bing,R. Barry,W. Chamberlain,G. Rodgers,W. Chamberlain
1968,ABA,ptp,M. Daniels,D. Moe,M. Daniels,L. Brown,C. Hawkins
1968,NBA,bos,E. Monroe,D. Bing,W. Chamberlain,W. Chamberlain,W. Chamberlain
1969,ABA,oak,W. Jabali,L. Jones,M. Daniels,L. Brown,J. Jones
1969,NBA,bos,W. Unseld,E. Hayes,W. Chamberlain,O. Robertson,W. Reed
1970,ABA,ina,S. Haywood,S. Haywood,S. Haywood,L. Brown,S. Haywood
1970,NBA,nyk,K. Abdul-Jabbar,K. Abdul-Jabbar,E. Hayes,L. Wilkens,J. West
1971,ABA,uts,D. Issel,D. Issel,M. Daniels,B. Melchionni,Z. Beaty
1971,NBA,mil,D. Cowens,K. Abdul-Jabbar,W. Chamberlain,N. Van Lier,K. Abdul-Jabbar
1972,ABA,ina,A. Gilmore,D. Issel,A. Gilmore,B. Melchionni,A. Gilmore
1972,NBA,lal,S. Wicks,K. Abdul-Jabbar,W. Chamberlain,L. Wilkens,K. Abdul-Jabbar
1973,ABA,ina,B. Taylor,D. Issel,A. Gilmore,C. Williams,A. Gilmore
1973,NBA,nyk,B. McAdoo,T. Archibald,W. Chamberlain,T. Archibald,K. Abdul-Jabbar
1974,ABA,nya,S. Nater,J. Erving,A. Gilmore,A. Smith,J. Erving
1974,NBA,bos,E. DiGregorio,B. McAdoo,E. Hayes,E. DiGregorio,K. Abdul-Jabbar
1975,ABA,ken,M. Barnes,G. McGinnis,A. Gilmore,C. Williams,J. Erving
1975,NBA,gsw,J. Wilkes,B. McAdoo,B. McAdoo,K. Porter,B. McAdoo
1976,ABA,nya,D. Thompson,J. Erving,A. Gilmore,D. Buse,J. Erving
1976,NBA,bos,A. Adams,B. McAdoo,K. Abdul-Jabbar,S. Watts,K. Abdul-Jabbar
1977,NBA,por,A. Dantley,P. Maravich,K. Abdul-Jabbar,D. Buse,K. Abdul-Jabbar
1978,NBA,wsb,W. Davis,G. Gervin,T. Robinson,K. Porter,D. Thompson
1979,NBA,sea,P. Ford,G. Gervin,M. Malone,K. Porter,K. Abdul-Jabbar
1980,NBA,lal,L. Bird,G. Gervin,S. Nater,M. Richardson,K. Abdul-Jabbar
1981,NBA,bos,D. Griffith,A. Dantley,M. Malone,K. Porter,K. Abdul-Jabbar
1982,NBA,lal,B. Williams,G. Gervin,M. Malone,J. Moore,M. Malone
1983,NBA,phi,T. Cummings,A. English,M. Malone,M. Johnson,M. Malone
1984,NBA,bos,R. Sampson,A. Dantley,B. Laimbeer,N. Nixon,A. Dantley
1985,NBA,lal,M. Jordan,M. Jordan,M. Malone,I. Thomas,L. Bird
1986,NBA,bos,P. Ewing,A. English,B. Laimbeer,M. Johnson,L. Bird
1987,NBA,lal,C. Person,M. Jordan,C. Oakley,M. Johnson,M. Jordan
1988,NBA,lal,M. Jackson,M. Jordan,C. Oakley,J. Stockton,M. Jordan
1989,NBA,det,M. Richmond,M. Jordan,H. Olajuwon,J. Stockton,M. Jordan
1990,NBA,det,D. Robinson,M. Jordan,H. Olajuwon,J. Stockton,M. Jordan
