season,season_label,start_year,has_awards
1947,1946-47,1946,True
1948,1947-48,1947,True
1949,1948-49,1948,True
1950,1949-50,1949,True
1951,1950-51,1950,True
1952,1951-52,1951,True
1953,1952-53,1952,True
1954,1953-54,1953,True
1955,1954-55,1954,True
1956,1955-56,1955,True
1957,1956-57,1956,True
1958,1957-58,1957,True
1959,1958-59,1958,True
1960,1959-60,1959,True
1961,1960-61,1960,True
1962,1961-62,1961,True
1963,1962-63,1962,True
1964,1963-64,1963,True
1965,1964-65,1964,True
1966,1965-66,1965,True
1967,1966-67,1966,True
1968,1967-68,1967,True
1969,1968-69,1968,True
1970,1969-70,1969,True
1971,1970-71,1970,True
1972,1971-72,1971,True
1973,1972-73,1972,True
1974,1973-74,1973,True
1975,1974-75,1974,True
1976,1975-76,1975,True
1977,1976-77,1976,True
1978,1977-78,1977,True
1979,1978-79,1978,True
1980,1979-80,1979,True
1981,1980-81,1980,True
1982,1981-82,1981,True
1983,1982-83,1982,True
1984,1983-84,1983,True
1985,1984-85,1984,True
1986,1985-86,1985,True
1987,1986-87,1986,True
1988,1987-88,1987,True
1989,1988-89,1988,True
1990,1989-90,1989,True
1991,1990-91,1990,True
1992,1991-92,1991,True
1993,1992-93,1992,True
1994,1993-94,1993,True
1995,1994-95,1994,True
1996,1995-96,1995,True
1997,1996-97,1996,True
1998,1997-98,1997,True
1999,1998-99,1998,True
2000,1999-00,1999,True
2001,2000-01,2000,True
2002,2001-02,2001,True
2003,2002-03,2002,True
2004,2003-04,2003,True
2005,2004-05,2004,True
2006,2005-06,2005,True
2007,2006-07,2006,True
2008,2007-08,2007,True
2009,2008-09,2008,True
2010,2009-10,2009,True
2011,2010-11,2010,True
2012,2011-12,2011,True
2013,2012-13,2012,True
2014,2013-14,2013,True
2015,2014-15,2014,True
2016,2015-16,2015,True
2017,2016-17,2016,True
2018,2017-18,2017,True
2019,2018-19,2018,True
2020,2019-20,2019,True
2021,2020-21,2020,True
2022,2021-22,2021,True
2023,2022-23,2022,True
2024,2023-24,2023,True
2025,2024-25,2024,True
2026,2025-26,2025,False
