player_id,player_name,Position,Shoots,Height,Weight,Birthday,Birthmonth,Birthyear,College,Draft,Draft Team,Draf Pick,Experience,NBA Debut
abdulka01,Kareem Abdul-Jabbar,Center,Right,7-2,225,16,April,1947,UCLA,1969 NBA Draft,Milwaukee Bucks,"1st round (1st pick, 1st overall)",,"October 18, 1969"
abramjo01,John Abramovic,Forward,Right,6-3,195,9,February,1919,Salem University,,,,,"November 2, 1946"
abrinal01,Ãlex Abrines,Shooting Guard,Right,6-6,200,1,August,1993,,2013 NBA Draft,Oklahoma City Thunder,"2nd round (2nd pick, 32nd overall)",,"October 26, 2016"
achiupr01,Precious Achiuwa,"Center, Power Forward",Right,6-8,243,19,September,1999,Memphis,2020 NBA Draft,Miami Heat,"1st round (20th pick, 20th overall)",6.0,"December 23, 2020"
acyqu01,Quincy Acy,"Power Forward, Small Forward",Right,6-7,240,6,October,1990,Baylor,2012 NBA Draft,Toronto Raptors,"2nd round (7th pick, 37th overall)",,"November 7, 2012"
adamsja01,Jaylen Adams,Point Guard,Right,6-0,225,4,May,1996,St. Bonaventure,,,,,"October 17, 2018"
adamsst01,Steven Adams,Center,Right,6-11,265,20,July,1993,Pitt,2013 NBA Draft,Oklahoma City Thunder,"1st round (12th pick, 12th overall)",12.0,"October 30, 2013"
adebaba01,Bam Adebayo,"Center, Power Forward",Right,6-9,255,18,July,1997,Kentucky,2017 NBA Draft,Miami Heat,"1st round (14th pick, 14th overall)",9.0,"October 18, 2017"
adelde01,Deng Adel,Small Forward,Right,6-7,200,1,February,1997,Louisville,,,,,"January 19, 2019"
agbajoc01,Ochai Agbaji,Shooting Guard,Right,6-5,215,20,April,2000,Kansas,2022 NBA Draft,Cleveland Cavaliers,"1st round (14th pick, 14th overall)",4.0,"October 19, 2022"
aguirma01,Mark Aguirre,Small Forward,Right,6-6,232,10,December,1959,DePaul,1981 NBA Draft,Dallas Mavericks,"1st round (1st pick, 1st overall)",,"October 30, 1981"
aingeda01,Danny Ainge,"Shooting Guard, Point Guard",Right,6-5,185,17,March,1959,BYU,1981 NBA Draft,Boston Celtics,"2nd round (8th pick, 31st overall)",,"December 9, 1981"
ajincal01,Alexis AjinÃ§a,"Center, Power Forward",Right,7-2,248,6,May,1988,,2008 NBA Draft,Charlotte Bobcats,"1st round (20th pick, 20th overall)",,"October 30, 2008"
akoonde01,DeVaughn Akoon-Purcell,Shooting Guard,Right,6-6,200,5,June,1993,Illinois State,,,,,"October 23, 2018"
aldamsa01,Santi Aldama,Power Forward,Right,7-0,215,10,January,2001,Loyola (MD),2021 NBA Draft,Utah Jazz,"1st round (30th pick, 30th overall)",5.0,"October 27, 2021"
aldrila01,LaMarcus Aldridge,"Power Forward, Center",Right,6-11,250,19,July,1985,Texas,2006 NBA Draft,Chicago Bulls,"1st round (2nd pick, 2nd overall)",,"November 12, 2006"
