player_id,player_name,Experience,Career Games,Career Points,Career Total Rebound Percentage,Career Assists Percentage,Career Field Goal Percentage,Career 3pt Field Goal Percentage,Career Free Throw Percentage,Career Effective Field Goal Percentage,Career Player Efficiency Rating,Career Win Shares
abdulka01,Kareem Abdul-Jabbar,,1560,24.6,11.2,3.6,55.9,5.6,72.1,55.9,24.6,273.4
abramjo01,John Abramovic,,56,9.5,,0.7,23.7,,68.6,,,-1.9
abrinal01,Ãlex Abrines,,174,5.3,1.4,0.5,38.7,36.8,88.0,52.5,8.8,5.0
achiupr01,Precious Achiuwa,6.0,393,8.0,5.9,1.1,49.4,29.9,59.6,52.3,14.4,14.8
acyqu01,Quincy Acy,,337,4.9,3.5,0.6,44.4,35.0,75.9,51.3,11.2,8.7
adamsja01,Jaylen Adams,,41,2.7,1.5,1.6,33.1,32.9,77.8,43.6,7.0,0.0
adamsst01,Steven Adams,12.0,796,8.7,8.0,1.5,58.4,5.9,53.4,58.4,17.0,63.7
adebaba01,Bam Adebayo,9.0,640,16.2,9.0,3.6,52.2,31.6,75.9,53.7,19.7,64.0
adelde01,Deng Adel,,19,1.7,1.0,0.3,30.6,26.1,100.0,38.9,2.7,-0.2
agbajoc01,Ochai Agbaji,4.0,263,7.2,2.7,1.1,44.8,33.9,75.5,53.3,9.6,5.5
aguirma01,Mark Aguirre,,923,20.0,5.0,3.1,48.4,31.2,74.1,49.8,19.0,67.8
aingeda01,Danny Ainge,,1042,11.5,2.7,4.0,46.9,37.8,84.6,51.9,14.7,71.5
ajincal01,Alexis AjinÃ§a,,293,5.3,3.9,0.5,50.3,28.6,79.7,50.7,14.9,7.5
akoonde01,DeVaughn Akoon-Purcell,,7,1.0,0.6,0.9,30.0,0.0,50.0,30.0,8.2,0.0
aldamsa01,Santi Aldama,5.0,278,10.4,5.4,2.1,46.3,34.6,68.6,54.7,14.7,14.5
aldrila01,LaMarcus Aldridge,,1076,19.1,8.1,1.9,49.3,32.0,81.3,49.9,20.7,115.6
alexaky01,Kyle Alexander,,2,1.0,1.5,0.0,50.0,,,50.0,4.7,0.0
alexani01,Nickeil Alexander-Walker,7.0,459,10.6,2.6,2.5,42.7,37.2,80.7,52.7,12.5,16.5
alexatr01,Trey Alexander,2.0,33,2.4,0.7,0.6,41.0,31.0,66.7,46.8,7.9,0.0
alexaty01,Ty-Shon Alexander,,15,0.6,0.7,0.4,25.0,22.2,50.0,33.3,4.2,0.0
alkinra01,Rawle Alkins,,10,3.7,2.6,1.3,33.3,25.0,66.7,37.2,8.1,-0.1
allengr01,Grayson Allen,8.0,454,11.2,3.0,2.2,44.3,40.3,85.7,57.6,13.2,26.4
allenja01,Jarrett Allen,9.0,624,13.1,9.2,1.7,64.1,15.9,71.1,64.3,20.7,73.1
allenka01,Kadeem Allen,,47,5.5,1.5,2.3,43.5,34.9,75.7,48.8,13.5,1.0
allenlu01,Lucius Allen,,702,13.4,3.1,4.5,46.3,,76.0,,15.5,42.0
allenra02,Ray Allen,,1300,18.9,4.1,3.4,45.2,40.0,89.4,53.0,18.6,145.1
allenti01,Timmy Allen,,5,2.6,3.4,1.0,26.1,0.0,50.0,26.1,0.8,-0.1
allento01,Tony Allen,,820,8.1,3.5,1.3,47.5,28.2,70.9,48.7,14.2,38.7
alvarjo01,Jose Alvarado,5.0,296,8.0,2.3,3.2,41.2,34.9,75.7,50.9,13.0,9.4
aminual01,Al-Farouq Aminu,,711,7.5,6.0,1.2,42.0,33.2,74.6,47.8,12.2,27.6
anderan01,Andy Anderson,,194,10.7,2.7,1.7,41.0,15.9,75.5,41.3,10.9,3.5
anderch01,Chris Andersen,,695,5.4,5.0,0.5,53.2,22.1,65.4,53.5,16.7,39.7
anderde01,Derek Anderson,,615,12.0,3.2,3.4,40.8,34.1,85.3,46.3,15.3,43.9
anderje01,Jerome Anderson,,49,2.6,0.5,0.3,49.0,,69.4,,11.4,0.4
anderjj01,J.J. Anderson,,157,4.8,2.8,0.7,46.5,0.0,55.8,46.5,12.1,2.7
anderju01,Justin Anderson,,242,5.3,2.6,0.8,41.0,29.2,77.5,48.2,12.4,4.9
anderky01,Kyle Anderson,12.0,757,6.8,4.2,2.8,48.0,34.0,71.5,51.6,14.1,41.3
anderry01,Ryan Anderson,,649,12.3,5.3,0.9,42.2,38.0,85.4,52.3,16.5,46.7
andersh01,Shandon Anderson,,719,7.4,3.1,1.4,45.7,31.6,73.9,49.2,11.7,23.6
anigbik01,Ike Anigbogu,,14,0.9,0.9,0.1,33.3,,83.3,33.3,17.0,0.0
antetal01,Alex Antetokounmpo,1.0,6,3.2,1.0,0.2,37.5,28.6,73.3,50.0,28.6,0.1
antetgi01,Giannis Antetokounmpo,13.0,895,24.1,9.9,5.0,55.4,28.5,69.1,57.3,26.1,125.8
antetko01,Kostas Antetokounmpo,3.0,22,1.0,1.0,0.1,37.5,,47.4,37.5,3.6,-0.2
antetth01,Thanasis Antetokounmpo,7.0,232,2.3,1.5,0.6,50.6,13.4,53.6,51.6,10.6,2.1
anthoca01,Carmelo Anthony,,1260,22.5,6.2,2.7,44.7,35.5,81.4,48.5,19.5,108.5
anthoco01,Cole Anthony,6.0,355,12.0,4.1,3.8,41.9,34.3,84.1,48.2,13.9,10.5
anthojo01,Joel Anthony,,490,2.2,2.8,0.2,51.3,,66.2,51.3,9.7,15.3
anunoog01,OG Anunoby,9.0,559,13.3,4.5,1.7,47.6,37.7,77.4,56.3,13.8,37.6
architi01,Tiny Archibald,,876,18.8,2.3,7.4,46.7,22.4,81.0,46.8,18.0,83.4
arcidry01,Ryan Arcidiacono,,257,4.0,1.8,1.9,42.1,36.9,80.7,52.7,9.8,6.0
ardji01,Jim Ard,,431,4.4,4.3,0.6,40.2,23.5,66.2,40.3,10.6,4.0
arizatr01,Trevor Ariza,,1118,10.4,4.8,2.1,42.2,35.1,73.1,50.4,13.1,64.3
arizipa01,Paul Arizin,,713,22.8,8.6,2.3,42.1,,81.0,,19.8,108.8
armeltr01,Armel TraorÃ©,,9,1.6,1.7,0.1,31.6,0.0,28.6,31.6,3.5,-0.1
armstbj01,B.J. Armstrong,,747,9.8,1.8,3.3,47.7,42.5,85.6,51.3,14.5,45.0
arnzebo01,Bob Arnzen,,111,4.0,2.0,0.3,46.5,20.0,80.0,46.6,13.6,1.4
artesro01,Metta World Peace,,991,13.2,4.5,2.7,41.4,33.9,71.5,46.5,14.8,61.1
atkinch01,Chucky Atkins,,696,9.9,1.7,3.4,41.2,36.4,77.2,48.9,13.1,27.9
augusdj01,D.J. Augustin,,976,9.5,1.8,3.9,41.2,38.1,86.7,49.9,14.0,47.7
avdijde01,Deni Avdija,6.0,425,13.3,6.3,3.4,46.2,33.3,77.1,52.7,14.4,21.7
averibi01,Bird Averitt,,366,12.1,1.9,2.9,40.5,24.9,74.3,41.2,12.5,3.9
awtrede01,Dennis Awtrey,,733,4.8,4.6,2.0,45.9,,65.2,45.9,10.5,22.4
ayayijo01,Joel Ayayi,,7,0.3,0.4,0.6,16.7,0.0,,16.7,3.4,0.0
aytonde01,Deandre Ayton,8.0,470,15.8,10.1,1.5,59.9,23.0,74.1,60.1,19.7,43.8
azubuud01,Udoka Azubuike,4.0,84,3.0,2.8,0.2,75.8,,44.4,75.8,15.5,2.0
bacondw01,Dwayne Bacon,,207,7.3,2.6,1.1,40.2,31.4,78.0,44.7,8.9,0.8
badjiib01,Ibou Badji,1.0,22,1.5,2.3,0.6,63.6,,50.0,63.6,8.1,0.2
baglema01,Marvin Bagley III,8.0,349,11.8,6.5,1.0,53.1,30.8,68.5,55.5,17.9,16.3
baglema02,Marcus Bagley,1.0,10,6.7,7.0,1.0,39.1,15.6,80.0,42.8,11.8,0.2
baileac01,Ace Bailey,1.0,72,13.8,4.2,1.8,44.3,34.4,75.0,52.0,11.6,-0.1
baileam01,Amari Bailey,,10,2.3,0.9,0.7,33.3,12.5,85.7,35.4,9.7,-0.1
bakerro01,Ron Baker,,96,3.1,1.4,1.8,35.8,26.5,70.7,41.7,7.4,0.2
balad01,Adama-Alpha Bal,1.0,8,10.4,3.1,2.4,41.2,40.9,90.0,54.4,9.6,0.3
baldwpa01,Patrick Baldwin Jr.,4.0,102,3.7,2.1,0.5,40.5,37.6,66.7,53.1,11.1,0.7
baldwwa01,Wade Baldwin,,56,3.1,1.2,1.4,35.5,25.0,77.6,38.2,7.1,-0.3
ballagr01,Greg Ballard,,802,12.4,6.1,2.2,47.2,33.8,78.7,47.7,15.7,54.0
ballla01,LaMelo Ball,6.0,303,20.8,5.7,7.3,41.8,36.5,84.7,51.0,19.1,19.8
balllo01,Lonzo Ball,7.0,322,10.6,5.3,5.6,39.2,35.5,60.3,50.2,13.0,13.3
bambamo01,Mo Bamba,8.0,368,6.7,5.4,0.8,47.7,35.6,68.2,54.9,16.3,15.7
banchpa01,Paolo Banchero,4.0,270,22.3,7.4,4.8,44.9,31.7,74.3,48.9,17.2,16.1
banede01,Desmond Bane,6.0,395,18.3,4.5,3.8,47.5,40.7,89.0,56.3,17.1,33.0
bantoda01,Dalano Banton,5.0,222,6.6,2.2,2.0,40.1,30.3,73.2,46.0,12.5,2.0
