TeamName,Season,PlayerName,Player_id,Team_id,Pos,Ht,Wt,Birth Date,Birth,Exp,College
Toronto Raptors,2018-19,OG Anunoby,anunoog01,TOR,SF,6-7,240,"July 17, 1997",gb GB,1,Indiana
Toronto Raptors,2018-19,Chris Boucher,bouchch01,TOR,PF,6-8,200,"January 11, 1993",lc LC,1,New Mexico Junior College
Toronto Raptors,2018-19,Lorenzo Brown,brownlo01,TOR,PG,6-5,189,"August 26, 1990",us US,4,NC State
Toronto Raptors,2018-19,Marc Gasol,gasolma01,TOR,C,6-11,255,"January 29, 1985",es ES,10,
Toronto Raptors,2018-19,Danny Green,greenda02,TOR,SG,6-6,215,"June 22, 1987",us US,9,UNC
Toronto Raptors,2018-19,Serge Ibaka,ibakase01,TOR,C,6-11,235,"September 18, 1989",cg CG,9,
Toronto Raptors,2018-19,Kawhi Leonard,leonaka01,TOR,SF,6-6,225,"June 29, 1991",us US,7,San Diego State
Toronto Raptors,2018-19,Jeremy Lin,linje01,TOR,PG,6-3,200,"August 23, 1988",us US,8,Harvard University
Toronto Raptors,2018-19,Kyle Lowry,lowryky01,TOR,PG,6-0,196,"March 25, 1986",us US,12,Villanova
Toronto Raptors,2018-19,Jordan Loyd,loydjo01,TOR,PG,6-4,210,"July 27, 1993",us US,R,Furman University
Toronto Raptors,2018-19,Patrick McCaw,mccawpa01,TOR,SG,6-7,181,"October 25, 1995",us US,2,UNLV
Toronto Raptors,2018-19,Jodie Meeks,meeksjo01,TOR,SG,6-4,210,"August 21, 1987",us US,9,Kentucky
Toronto Raptors,2018-19,C.J. Miles,milescj01,TOR,SF,6-6,220,"March 18, 1987",us US,13,
Toronto Raptors,2018-19,Malcolm Miller,millema01,TOR,SF,6-7,210,"March 6, 1993",us US,1,Holy Cross
Toronto Raptors,2018-19,Greg Monroe,monrogr01,TOR,C,6-11,265,"June 4, 1990",us US,8,Georgetown
Toronto Raptors,2018-19,Eric Moreland,moreler01,TOR,PF,6-10,238,"December 24, 1991",us US,3,Oregon State
Toronto Raptors,2018-19,Norman Powell,powelno01,TOR,SG,6-3,215,"May 25, 1993",us US,3,UCLA
Toronto Raptors,2018-19,Malachi Richardson,richama01,TOR,SG,6-6,205,"January 5, 1996",us US,2,Syracuse
Toronto Raptors,2018-19,Pascal Siakam,siakapa01,TOR,PF,6-8,245,"April 2, 1994",cm CM,2,New Mexico State
Toronto Raptors,2018-19,Jonas ValanÄiÅ«nas,valanjo01,TOR,C,6-11,265,"May 6, 1992",lt LT,6,
Toronto Raptors,2018-19,Fred VanVleet,vanvlfr01,TOR,PG,6-0,197,"February 25, 1994",us US,2,Wichita State
Toronto Raptors,2018-19,Delon Wright,wrighde01,TOR,PG,6-4,185,"April 26, 1992",us US,3,Utah
Milwaukee Bucks,2018-19,Giannis Antetokounmpo,antetgi01,MIL,PF,6-11,243,"December 6, 1994",gr GR,5,
Milwaukee Bucks,2018-19,Eric Bledsoe,bledser01,MIL,PG,6-1,214,"December 9, 1989",us US,8,Kentucky
Milwaukee Bucks,2018-19,Malcolm Brogdon,brogdma01,MIL,SG,6-4,229,"December 11, 1992",us US,2,Virginia
Milwaukee Bucks,2018-19,Sterling Brown,brownst02,MIL,SG,6-5,219,"February 10, 1995",us US,1,SMU
Milwaukee Bucks,2018-19,Isaiah Canaan,canaais01,MIL,PG,6-0,200,"May 21, 1991",us US,5,Murray State
Milwaukee Bucks,2018-19,Bonzie Colson,colsobo01,MIL,SF,6-6,225,"January 12, 1996",us US,R,Notre Dame
Milwaukee Bucks,2018-19,Pat Connaughton,connapa01,MIL,SG,6-5,209,"January 6, 1993",us US,3,Notre Dame
Milwaukee Bucks,2018-19,Matthew Dellavedova,dellama01,MIL,PG,6-3,200,"September 8, 1990",au AU,5,Saint Mary's
Milwaukee Bucks,2018-19,Donte DiVincenzo,divindo01,MIL,SG,6-4,203,"January 31, 1997",us US,R,Villanova
Milwaukee Bucks,2018-19,Trevon Duval,duvaltr01,MIL,PG,6-2,189,"August 3, 1998",us US,R,Duke
