TeamName,Link
Teams,https://www.basketball-reference.com/teams/
Oklahoma City Thunder,https://www.basketball-reference.com/teams/OKC/2025.html
Boston Celtics,https://www.basketball-reference.com/teams/BOS/2024.html
Denver Nuggets,https://www.basketball-reference.com/teams/DEN/2023.html
Golden State Warriors,https://www.basketball-reference.com/teams/GSW/2022.html
Milwaukee Bucks,https://www.basketball-reference.com/teams/MIL/2021.html
Los Angeles Lakers,https://www.basketball-reference.com/teams/LAL/2020.html
Toronto Raptors,https://www.basketball-reference.com/teams/TOR/2019.html
Golden State Warriors,https://www.basketball-reference.com/teams/GSW/2018.html
Golden State Warriors,https://www.basketball-reference.com/teams/GSW/2017.html
Cleveland Cavaliers,https://www.basketball-reference.com/teams/CLE/2016.html
Golden State Warriors,https://www.basketball-reference.com/teams/GSW/2015.html
San Antonio Spurs,https://www.basketball-reference.com/teams/SAS/2014.html
Miami Heat,https://www.basketball-reference.com/teams/MIA/2013.html
Miami Heat,https://www.basketball-reference.com/teams/MIA/2012.html
Dallas Mavericks,https://www.basketball-reference.com/teams/DAL/2011.html
Los Angeles Lakers,https://www.basketball-reference.com/teams/LAL/2010.html
Los Angeles Lakers,https://www.basketball-reference.com/teams/LAL/2009.html
Boston Celtics,https://www.basketball-reference.com/teams/BOS/2008.html
San Antonio Spurs,https://www.basketball-reference.com/teams/SAS/2007.html
Miami Heat,https://www.basketball-reference.com/teams/MIA/2006.html
San Antonio Spurs,https://www.basketball-reference.com/teams/SAS/2005.html
Detroit Pistons,https://www.basketball-reference.com/teams/DET/2004.html
San Antonio Spurs,https://www.basketball-reference.com/teams/SAS/2003.html
Los Angeles Lakers,https://www.basketball-reference.com/teams/LAL/2002.html
Los Angeles Lakers,https://www.basketball-reference.com/teams/LAL/2001.html
Los Angeles Lakers,https://www.basketball-reference.com/teams/LAL/2000.html
San Antonio Spurs,https://www.basketball-reference.com/teams/SAS/1999.html
Chicago Bulls,https://www.basketball-reference.com/teams/CHI/1998.html
Chicago Bulls,https://www.basketball-reference.com/teams/CHI/1997.html
Chicago Bulls,https://www.basketball-reference.com/teams/CHI/1996.html
Houston Rockets,https://www.basketball-reference.com/teams/HOU/1995.html
Houston Rockets,https://www.basketball-reference.com/teams/HOU/1994.html
Chicago Bulls,https://www.basketball-reference.com/teams/CHI/1993.html
Chicago Bulls,https://www.basketball-reference.com/teams/CHI/1992.html
Chicago Bulls,https://www.basketball-reference.com/teams/CHI/1991.html
Detroit Pistons,https://www.basketball-reference.com/teams/DET/1990.html
Detroit Pistons,https://www.basketball-reference.com/teams/DET/1989.html
Los Angeles Lakers,https://www.basketball-reference.com/teams/LAL/1988.html
Los Angeles Lakers,https://www.basketball-reference.com/teams/LAL/1987.html
Boston Celtics,https://www.basketball-reference.com/teams/BOS/1986.html
Los Angeles Lakers,https://www.basketball-reference.com/teams/LAL/1985.html
Boston Celtics,https://www.basketball-reference.com/teams/BOS/1984.html
Philadelphia 76ers,https://www.basketball-reference.com/teams/PHI/1983.html
Los Angeles Lakers,https://www.basketball-reference.com/teams/LAL/1982.html
Boston Celtics,https://www.basketball-reference.com/teams/BOS/1981.html
Los Angeles Lakers,https://www.basketball-reference.com/teams/LAL/1980.html
Seattle SuperSonics,https://www.basketball-reference.com/teams/SEA/1979.html
Washington Bullets,https://www.basketball-reference.com/teams/WSB/1978.html
Portland Trail Blazers,https://www.basketball-reference.com/teams/POR/1977.html
Boston Celtics,https://www.basketball-reference.com/teams/BOS/1976.html
New York Nets,https://www.basketball-reference.com/teams/NYA/1976.html
Golden State Warriors,https://www.basketball-reference.com/teams/GSW/1975.html
Kentucky Colonels,https://www.basketball-reference.com/teams/KEN/1975.html
Boston Celtics,https://www.basketball-reference.com/teams/BOS/1974.html
New York Nets,https://www.basketball-reference.com/teams/NYA/1974.html
New York Knicks,https://www.basketball-reference.com/teams/NYK/1973.html
Indiana Pacers,https://www.basketball-reference.com/teams/INA/1973.html
Los Angeles Lakers,https://www.basketball-reference.com/teams/LAL/1972.html
Indiana Pacers,https://www.basketball-reference.com/teams/INA/1972.html
Milwaukee Bucks,https://www.basketball-reference.com/teams/MIL/1971.html
Utah Stars,https://www.basketball-reference.com/teams/UTS/1971.html
New York Knicks,https://www.basketball-reference.com/teams/NYK/1970.html
Indiana Pacers,https://www.basketball-reference.com/teams/INA/1970.html
Boston Celtics,https://www.basketball-reference.com/teams/BOS/1969.html
Oakland Oaks,https://www.basketball-reference.com/teams/OAK/1969.html
Boston Celtics,https://www.basketball-reference.com/teams/BOS/1968.html
Pittsburgh Pipers,https://www.basketball-reference.com/teams/PTP/1968.html
Philadelphia 76ers,https://www.basketball-reference.com/teams/PHI/1967.html
Boston Celtics,https://www.basketball-reference.com/teams/BOS/1966.html
Boston Celtics,https://www.basketball-reference.com/teams/BOS/1965.html
Boston Celtics,https://www.basketball-reference.com/teams/BOS/1964.html
Boston Celtics,https://www.basketball-reference.com/teams/BOS/1963.html
Boston Celtics,https://www.basketball-reference.com/teams/BOS/1962.html
Boston Celtics,https://www.basketball-reference.com/teams/BOS/1961.html
Boston Celtics,https://www.basketball-reference.com/teams/BOS/1960.html
