link,team_full_name,season,record,coach,executive,pts_g,srs,off_rtg,expected_w_l,preseason_odds,arena
https://www.basketball-reference.com/teams/OKC/2025.html,Oklahoma City Thunder,2024-25,"68-14, Finished 1st in NBA Western Conference",Mark Daigneault (68-14),Sam Presti,120.5 (4th of 30) Opp PTS/G: 107.6 (3rd of 30),12.70 (1st of 30) Pace : 100.0 (6th of 30),120.3 (3rd of 30) Def Rtg : 107.5 (1st of 30) Net Rtg : +12.8 (1st of 30),68-14 (1st of 30),"Championship +675 , Over-Under 57.5","Paycom Center Attendance: 754,832 (14th of 30)"
https://www.basketball-reference.com/teams/BOS/2024.html,Boston Celtics,2023-24,"64-18, Finished 1st in NBA Eastern Conference",Joe Mazzulla (64-18),Brad Stevens,120.6 (2nd of 30) Opp PTS/G: 109.2 (5th of 30),10.74 (1st of 30) Pace : 97.2 (23rd of 30),123.2 (1st of 30) Def Rtg : 111.6 (3rd of 30) Net Rtg : +11.6 (1st of 30),66-16 (1st of 30),"Championship +450 , Over-Under 54.5","TD Garden Attendance: 785,396 (10th of 30)"
https://www.basketball-reference.com/teams/DEN/2023.html,Denver Nuggets,2022-23,"53-29, Finished 1st in NBA Western Conference",Michael Malone (53-29),Calvin Booth,115.8 (12th of 30) Opp PTS/G: 112.5 (8th of 30),3.04 (6th of 30) Pace : 98.1 (23rd of 30),117.6 (5th of 30) Def Rtg : 114.2 (15th of 30) Net Rtg : +3.4 (6th of 30),49-33 (6th of 30),"Championship +1800 , Over-Under 51.5","Ball Arena Attendance: 788,635 (7th of 30)"
https://www.basketball-reference.com/teams/GSW/2022.html,Golden State Warriors,2021-22,"53-29, Finished 3rd in NBA Western Conference",Steve Kerr (53-29),Bob Myers,111.0 (15th of 30) Opp PTS/G: 105.5 (3rd of 30),5.52 (4th of 30) Pace : 98.4 (13th of 30),112.5 (17th of 30) Def Rtg : 106.9 (1st of 30) Net Rtg : +5.6 (5th of 30),55-27 (4th of 30),"Championship +900 , Over-Under 48.5","Chase Center Attendance: 740,624 (10th of 30)"
https://www.basketball-reference.com/teams/MIL/2021.html,Milwaukee Bucks,2020-21,"46-26, Finished 3rd in NBA Eastern Conference",Mike Budenholzer (46-26),Jon Horst,120.1 (1st of 30) Opp PTS/G: 114.2 (22nd of 30),5.57 (4th of 30) Pace : 102.2 (2nd of 30),117.2 (6th of 30) Def Rtg : 111.4 (10th of 30) Net Rtg : +5.7 (4th of 30),48-24 (5th of 30),"Championship +550 , Over-Under 49.5","Fiserv Forum Attendance: 64,780 (10th of 30)"
https://www.basketball-reference.com/teams/LAL/2020.html,Los Angeles Lakers,2019-20,"52-19, Finished 1st in NBA Western Conference",Frank Vogel (52-19),Rob Pelinka,113.4 (11th of 30) Opp PTS/G: 107.6 (4th of 30),6.28 (3rd of 30) Pace : 100.9 (11th of 30),112.0 (11th of 30) Def Rtg : 106.3 (3rd of 30) Net Rtg : +5.7 (5th of 30),48-23 (5th of 30),"Championship +450 , Over-Under 50.5","STAPLES Center Attendance: 588,907 (14th of 30)"
https://www.basketball-reference.com/teams/TOR/2019.html,Toronto Raptors,2018-19,"58-24, Finished 2nd in NBA Eastern Conference",Nick Nurse (58-24),Masai Ujiri,114.4 (8th of 30) Opp PTS/G: 108.4 (9th of 30),5.49 (3rd of 30) Pace : 100.2 (15th of 30),113.1 (5th of 30) Def Rtg : 107.1 (5th of 30) Net Rtg : +6.0 (3rd of 30),56-26 (3rd of 30),"Championship +1850 , Over-Under 55.5","Scotiabank Arena Attendance: 812,822 (4th of 30)"
https://www.basketball-reference.com/teams/GSW/2018.html,Golden State Warriors,2017-18,"58-24, Finished 2nd in NBA Western Conference",Steve Kerr (58-24),Bob Myers,113.5 (1st of 30) Opp PTS/G: 107.5 (18th of 30),5.79 (3rd of 30) Pace : 99.6 (5th of 30),113.6 (3rd of 30) Def Rtg : 107.7 (11th of 30) Net Rtg : +6.0 (3rd of 30),56-26 (3rd of 30),"Championship -187 , Over-Under 67.5","Oracle Arena Attendance: 803,436 (7th of 30)"
https://www.basketball-reference.com/teams/GSW/2017.html,Golden State Warriors,2016-17,"67-15, Finished 1st in NBA Western Conference",Steve Kerr (67-15),Bob Myers,115.9 (1st of 30) Opp PTS/G: 104.3 (11th of 30),11.35 (1st of 30) Pace : 99.8 (4th of 30),115.6 (1st of 30) Def Rtg : 104.0 (2nd of 30) Net Rtg : +11.6 (1st of 30),67-15 (1st of 30),"Championship -128 , Over-Under 66.5","Oracle Arena Attendance: 803,436 (8th of 30)"
https://www.basketball-reference.com/teams/CLE/2016.html,Cleveland Cavaliers,2015-16,"57-25, Finished 1st in NBA Eastern Conference","David Blatt (30-11), Tyronn Lue (27-14)",David Griffin,104.3 (8th of 30) Opp PTS/G: 98.3 (4th of 30),5.45 (4th of 30) Pace : 93.3 (27th of 30),110.9 (3rd of 30) Def Rtg : 104.5 (10th of 30) Net Rtg : +6.4 (4th of 30),57-25 (4th of 30),"Championship +280 , Over-Under 56.5","Quicken Loans Arena Attendance: 843,042 (2nd of 30)"
