TeamName,Season,PlayerName,Player_id,Team_id,Pos,Ht,Wt,Birth Date,Birth,Exp,College
Oklahoma City Thunder,2024-25,Branden Carlson,carlsbr01,OKC,C,7-0,220,"June 14, 1999",us US,R,Utah
Oklahoma City Thunder,2024-25,Alex Caruso,carusal01,OKC,SG,6-5,186,"February 28, 1994",us US,7,Texas A&M
Oklahoma City Thunder,2024-25,Ousmane Dieng,diengou01,OKC,C,6-10,222,"May 21, 2003",fr FR,2,
Oklahoma City Thunder,2024-25,Luguentz Dort,dortlu01,OKC,SF,6-4,220,"April 19, 1999",ca CA,5,Arizona State
Oklahoma City Thunder,2024-25,Alex Ducas,ducasal01,OKC,SG,6-6,222,"December 11, 2000",au AU,R,Saint Mary's
Oklahoma City Thunder,2024-25,Adam Flagler,flaglad01,OKC,SG,6-3,195,"December 1, 1999",us US,1,"Presbyterian College, Baylor"
Oklahoma City Thunder,2024-25,Shai Gilgeous-Alexander,gilgesh01,OKC,PG,6-6,200,"July 12, 1998",ca CA,6,Kentucky
Oklahoma City Thunder,2024-25,Isaiah Hartenstein,harteis01,OKC,C,7-0,255,"May 5, 1998",us US,6,
Oklahoma City Thunder,2024-25,Chet Holmgren,holmgch01,OKC,C,7-1,213,"May 1, 2002",us US,1,Gonzaga
Oklahoma City Thunder,2024-25,Isaiah Joe,joeis01,OKC,SG,6-5,181,"July 2, 1999",us US,4,Arkansas
Oklahoma City Thunder,2024-25,Dillon Jones,jonesdi01,OKC,SF,6-5,240,"October 29, 2001",us US,R,Weber State
Oklahoma City Thunder,2024-25,Malevy Leons,leonsma01,OKC,SF,6-9,205,"September 23, 1999",nl NL,R,"Mineral Area College, Bradley"
Oklahoma City Thunder,2024-25,Ajay Mitchell,mitchaj01,OKC,SG,6-5,200,"June 25, 2002",be BE,R,UC Santa Barbara
Oklahoma City Thunder,2024-25,Alex Reese,reeseal01,OKC,PF,6-9,245,"May 21, 1999",us US,R,Alabama
Oklahoma City Thunder,2024-25,Cason Wallace,wallaca01,OKC,SG,6-4,205,"November 7, 2003",us US,1,Kentucky
Oklahoma City Thunder,2024-25,Aaron Wiggins,wiggiaa01,OKC,SG,6-6,200,"January 2, 1999",us US,3,Maryland
Oklahoma City Thunder,2024-25,Jalen Williams,willija06,OKC,SG,6-6,220,"April 14, 2001",us US,2,Santa Clara
Oklahoma City Thunder,2024-25,Jaylin Williams,willija07,OKC,PF,6-8,250,"June 29, 2002",us US,2,Arkansas
Oklahoma City Thunder,2024-25,Kenrich Williams,willike04,OKC,PF,6-7,210,"December 2, 1994",us US,6,TCU
Oklahoma City Thunder,2024-25,,,OKC,,,,,,,
Boston Celtics,2023-24,Dalano Banton,bantoda01,BOS,PG,6-9,204,"November 7, 1999",ca CA,2,Nebraska
Boston Celtics,2023-24,Oshae Brissett,brissos01,BOS,SF,6-7,210,"June 20, 1998",ca CA,4,Syracuse
Boston Celtics,2023-24,Jaylen Brown,brownja02,BOS,SF,6-6,223,"October 24, 1996",us US,7,California
Boston Celtics,2023-24,JD Davison,davisjd01,BOS,SG,6-1,195,"October 3, 2002",us US,1,Alabama
Boston Celtics,2023-24,Sam Hauser,hausesa01,BOS,SF,6-8,215,"December 8, 1997",us US,2,"Marquette, Virginia"
Boston Celtics,2023-24,Jrue Holiday,holidjr01,BOS,PG,6-4,205,"June 12, 1990",us US,14,UCLA
Boston Celtics,2023-24,Al Horford,horfoal01,BOS,C,6-9,240,"June 3, 1986",do DO,16,Florida
Boston Celtics,2023-24,Luke Kornet,kornelu01,BOS,C,7-2,250,"July 15, 1995",us US,6,Vanderbilt
Boston Celtics,2023-24,Svi Mykhailiuk,mykhasv01,BOS,SF,6-7,205,"June 10, 1997",ua UA,5,Kansas
Boston Celtics,2023-24,Drew Peterson,peterdr01,BOS,PF,6-9,205,"November 9, 1999",us US,R,"Rice University, USC"
Boston Celtics,2023-24,Kristaps PorziÅÄ£is,porzikr01,BOS,C,7-2,240,"August 2, 1995",lv LV,7,
Boston Celtics,2023-24,Payton Pritchard,pritcpa01,BOS,PG,6-1,195,"January 28, 1998",us US,3,Oregon
Boston Celtics,2023-24,Neemias Queta,quetane01,BOS,C,7-0,245,"July 13, 1999",pt PT,2,Utah State University
Boston Celtics,2023-24,Jaden Springer,sprinja01,BOS,SG,6-4,204,"September 25, 2002",us US,2,Tennessee
Boston Celtics,2023-24,Lamar Stevens,stevela01,BOS,PF,6-6,230,"July 9, 1997",us US,3,Penn State
Boston Celtics,2023-24,Jayson Tatum,tatumja01,BOS,PF,6-8,210,"March 3, 1998",us US,6,Duke
Boston Celtics,2023-24,Xavier Tillman Sr.,tillmxa01,BOS,PF,6-8,245,"January 12, 1999",us US,3,Michigan State
Boston Celtics,2023-24,Jordan Walsh,walshjo01,BOS,SF,6-7,205,"March 3, 2004",us US,R,Arkansas
Boston Celtics,2023-24,Derrick White,whitede01,BOS,SG,6-4,190,"July 2, 1994",us US,6,"Colorado-Colorado Springs, Colorado"
Boston Celtics,2023-24,,,BOS,,,,,,,
Denver Nuggets,2022-23,Christian Braun,braunch01,DEN,SG,6-6,218,"April 17, 2001",us US,R,Kansas
Denver Nuggets,2022-23,Bruce Brown,brownbr01,DEN,SF,6-4,202,"August 15, 1996",us US,4,Miami (FL)
Denver Nuggets,2022-23,Thomas Bryant,bryanth01,DEN,C,6-10,248,"July 31, 1997",us US,5,Indiana
Denver Nuggets,2022-23,Kentavious Caldwell-Pope,caldwke01,DEN,SG,6-5,204,"February 18, 1993",us US,9,Georgia
Denver Nuggets,2022-23,Vlatko ÄanÄar,cancavl01,DEN,PF,6-8,236,"April 10, 1997",si SI,3,
Denver Nuggets,2022-23,Aaron Gordon,gordoaa01,DEN,PF,6-8,235,"September 16, 1995",us US,8,Arizona
Denver Nuggets,2022-23,Jeff Green,greenje02,DEN,PF,6-8,235,"August 28, 1986",us US,14,Georgetown
Denver Nuggets,2022-23,Bones Hyland,hylanbo01,DEN,PG,6-2,173,"September 14, 2000",us US,1,VCU
Denver Nuggets,2022-23,Reggie Jackson,jacksre01,DEN,PG,6-2,208,"April 16, 1990",it IT,11,Boston College
Denver Nuggets,2022-23,Nikola JokiÄ,jokicni01,DEN,C,6-11,284,"February 19, 1995",rs RS,7,
Denver Nuggets,2022-23,DeAndre Jordan,jordade01,DEN,C,6-11,265,"July 21, 1988",us US,14,Texas A&M
Denver Nuggets,2022-23,Jamal Murray,murraja01,DEN,PG,6-4,215,"February 23, 1997",ca CA,5,Kentucky
Denver Nuggets,2022-23,Zeke Nnaji,nnajize01,DEN,PF,6-9,240,"January 9, 2001",us US,2,Arizona
Denver Nuggets,2022-23,Michael Porter Jr.,portemi01,DEN,SF,6-10,218,"June 29, 1998",us US,3,Missouri
Denver Nuggets,2022-23,Davon Reed,reedda01,DEN,SG,6-5,208,"June 11, 1995",us US,3,Miami (FL)
Denver Nuggets,2022-23,Ish Smith,smithis01,DEN,PG,6-0,175,"July 5, 1988",us US,12,Wake Forest
Denver Nuggets,2022-23,Peyton Watson,watsope01,DEN,SG,6-8,200,"September 11, 2002",us US,R,UCLA
Denver Nuggets,2022-23,Jack White,whiteja03,DEN,SF,6-7,225,"August 5, 1997",au AU,R,Duke
Denver Nuggets,2022-23,,,DEN,,,,,,,
Golden State Warriors,2021-22,Nemanja Bjelica,bjeline01,GSW,C,6-10,234,"May 9, 1988",rs RS,6,
Golden State Warriors,2021-22,Chris Chiozza,chiozch01,GSW,PG,5-11,175,"November 21, 1995",us US,3,Florida
Golden State Warriors,2021-22,Stephen Curry,curryst01,GSW,PG,6-2,185,"March 14, 1988",us US,12,Davidson
Golden State Warriors,2021-22,Jeff Dowtin Jr.,dowtije01,GSW,PG,6-3,185,"May 10, 1997",us US,R,Rhode Island
Golden State Warriors,2021-22,Draymond Green,greendr01,GSW,PF,6-6,230,"March 4, 1990",us US,9,Michigan State
Golden State Warriors,2021-22,Andre Iguodala,iguodan01,GSW,SF,6-6,215,"January 28, 1984",us US,17,Arizona
Golden State Warriors,2021-22,Jonathan Kuminga,kuminjo01,GSW,SF,6-8,210,"October 6, 2002",cd CD,R,
Golden State Warriors,2021-22,Damion Lee,leeda03,GSW,SG,6-5,210,"October 21, 1992",us US,4,"Drexel, Louisville"
Golden State Warriors,2021-22,Kevon Looney,looneke01,GSW,C,6-9,222,"February 6, 1996",us US,6,UCLA
Golden State Warriors,2021-22,Moses Moody,moodymo01,GSW,SG,6-5,205,"May 31, 2002",us US,R,Arkansas
Golden State Warriors,2021-22,Gary Payton II,paytoga02,GSW,SG,6-2,190,"December 1, 1992",us US,5,Oregon State
Golden State Warriors,2021-22,Jordan Poole,poolejo01,GSW,SG,6-4,194,"June 19, 1999",us US,2,Michigan
Golden State Warriors,2021-22,Otto Porter Jr.,porteot01,GSW,PF,6-8,198,"June 3, 1993",us US,8,Georgetown
Golden State Warriors,2021-22,Klay Thompson,thompkl01,GSW,SG,6-5,215,"February 8, 1990",us US,8,Washington State
Golden State Warriors,2021-22,Juan Toscano-Anderson,toscaju01,GSW,SF,6-6,209,"April 10, 1993",us US,2,Marquette
Golden State Warriors,2021-22,Quinndary Weatherspoon,weathqu01,GSW,SG,6-3,205,"September 10, 1996",us US,2,Mississippi State
Golden State Warriors,2021-22,Andrew Wiggins,wiggian01,GSW,SF,6-7,197,"February 23, 1995",ca CA,7,Kansas
Golden State Warriors,2021-22,,,GSW,,,,,,,
Milwaukee Bucks,2020-21,Jaylen Adams,adamsja01,MIL,PG,6-0,225,"May 4, 1996",us US,2,St. Bonaventure
Milwaukee Bucks,2020-21,Giannis Antetokounmpo,antetgi01,MIL,PF,6-11,242,"December 6, 1994",gr GR,7,
Milwaukee Bucks,2020-21,Thanasis Antetokounmpo,antetth01,MIL,SF,6-7,219,"July 18, 1992",gr GR,2,
Milwaukee Bucks,2020-21,D.J. Augustin,augusdj01,MIL,PG,5-11,183,"November 10, 1987",us US,12,Texas
Milwaukee Bucks,2020-21,Elijah Bryant,bryanel01,MIL,SG,6-5,210,"April 19, 1995",us US,R,"Elon University, BYU"
Milwaukee Bucks,2020-21,Pat Connaughton,connapa01,MIL,SG,6-5,209,"January 6, 1993",us US,5,Notre Dame
Milwaukee Bucks,2020-21,Torrey Craig,craigto01,MIL,SF,6-7,221,"December 19, 1990",us US,3,USC Upstate
Milwaukee Bucks,2020-21,Mamadi Diakite,diakima01,MIL,PF,6-9,228,"January 21, 1997",gn GN,R,Virginia
Milwaukee Bucks,2020-21,Donte DiVincenzo,divindo01,MIL,SG,6-4,203,"January 31, 1997",us US,2,Villanova
Milwaukee Bucks,2020-21,Bryn Forbes,forbebr01,MIL,SG,6-2,205,"July 23, 1993",us US,4,Michigan State
Milwaukee Bucks,2020-21,Jrue Holiday,holidjr01,MIL,PG,6-4,205,"June 12, 1990",us US,11,UCLA
Milwaukee Bucks,2020-21,Justin Jackson,jacksju01,MIL,SF,6-8,220,"March 28, 1995",us US,3,UNC
Milwaukee Bucks,2020-21,Rodions Kurucs,kurucro01,MIL,SF,6-9,228,"February 5, 1998",lv LV,2,
