Season,Link
2025-26,https://www.basketball-reference.com/leagues/NBA_2026.html
2024-25,https://www.basketball-reference.com/leagues/NBA_2025.html
2023-24,https://www.basketball-reference.com/leagues/NBA_2024.html
2022-23,https://www.basketball-reference.com/leagues/NBA_2023.html
2021-22,https://www.basketball-reference.com/leagues/NBA_2022.html
2020-21,https://www.basketball-reference.com/leagues/NBA_2021.html
2019-20,https://www.basketball-reference.com/leagues/NBA_2020.html
2018-19,https://www.basketball-reference.com/leagues/NBA_2019.html
2017-18,https://www.basketball-reference.com/leagues/NBA_2018.html
2016-17,https://www.basketball-reference.com/leagues/NBA_2017.html
2015-16,https://www.basketball-reference.com/leagues/NBA_2016.html
2014-15,https://www.basketball-reference.com/leagues/NBA_2015.html
2013-14,https://www.basketball-reference.com/leagues/NBA_2014.html
2012-13,https://www.basketball-reference.com/leagues/NBA_2013.html
2011-12,https://www.basketball-reference.com/leagues/NBA_2012.html
2010-11,https://www.basketball-reference.com/leagues/NBA_2011.html
2009-10,https://www.basketball-reference.com/leagues/NBA_2010.html
2008-09,https://www.basketball-reference.com/leagues/NBA_2009.html
2007-08,https://www.basketball-reference.com/leagues/NBA_2008.html
2006-07,https://www.basketball-reference.com/leagues/NBA_2007.html
2005-06,https://www.basketball-reference.com/leagues/NBA_2006.html
2004-05,https://www.basketball-reference.com/leagues/NBA_2005.html
2003-04,https://www.basketball-reference.com/leagues/NBA_2004.html
2002-03,https://www.basketball-reference.com/leagues/NBA_2003.html
2001-02,https://www.basketball-reference.com/leagues/NBA_2002.html
2000-01,https://www.basketball-reference.com/leagues/NBA_2001.html
1999-00,https://www.basketball-reference.com/leagues/NBA_2000.html
1998-99,https://www.basketball-reference.com/leagues/NBA_1999.html
1997-98,https://www.basketball-reference.com/leagues/NBA_1998.html
1996-97,https://www.basketball-reference.com/leagues/NBA_1997.html
1995-96,https://www.basketball-reference.com/leagues/NBA_1996.html
1994-95,https://www.basketball-reference.com/leagues/NBA_1995.html
1993-94,https://www.basketball-reference.com/leagues/NBA_1994.html
1992-93,https://www.basketball-reference.com/leagues/NBA_1993.html
1991-92,https://www.basketball-reference.com/leagues/NBA_1992.html
1990-91,https://www.basketball-reference.com/leagues/NBA_1991.html
1989-90,https://www.basketball-reference.com/leagues/NBA_1990.html
1988-89,https://www.basketball-reference.com/leagues/NBA_1989.html
1987-88,https://www.basketball-reference.com/leagues/NBA_1988.html
1986-87,https://www.basketball-reference.com/leagues/NBA_1987.html
1985-86,https://www.basketball-reference.com/leagues/NBA_1986.html
1984-85,https://www.basketball-reference.com/leagues/NBA_1985.html
1983-84,https://www.basketball-reference.com/leagues/NBA_1984.html
1982-83,https://www.basketball-reference.com/leagues/NBA_1983.html
1981-82,https://www.basketball-reference.com/leagues/NBA_1982.html
1980-81,https://www.basketball-reference.com/leagues/NBA_1981.html
1979-80,https://www.basketball-reference.com/leagues/NBA_1980.html
1978-79,https://www.basketball-reference.com/leagues/NBA_1979.html
1977-78,https://www.basketball-reference.com/leagues/NBA_1978.html
1976-77,https://www.basketball-reference.com/leagues/NBA_1977.html
1975-76,https://www.basketball-reference.com/leagues/NBA_1976.html
1974-75,https://www.basketball-reference.com/leagues/NBA_1975.html
1973-74,https://www.basketball-reference.com/leagues/NBA_1974.html
1972-73,https://www.basketball-reference.com/leagues/NBA_1973.html
1971-72,https://www.basketball-reference.com/leagues/NBA_1972.html
1970-71,https://www.basketball-reference.com/leagues/NBA_1971.html
1969-70,https://www.basketball-reference.com/leagues/NBA_1970.html
1968-69,https://www.basketball-reference.com/leagues/NBA_1969.html
1967-68,https://www.basketball-reference.com/leagues/NBA_1968.html
1966-67,https://www.basketball-reference.com/leagues/NBA_1967.html
1965-66,https://www.basketball-reference.com/leagues/NBA_1966.html
1964-65,https://www.basketball-reference.com/leagues/NBA_1965.html
1963-64,https://www.basketball-reference.com/leagues/NBA_1964.html
1962-63,https://www.basketball-reference.com/leagues/NBA_1963.html
1961-62,https://www.basketball-reference.com/leagues/NBA_1962.html
1960-61,https://www.basketball-reference.com/leagues/NBA_1961.html
1959-60,https://www.basketball-reference.com/leagues/NBA_1960.html
1958-59,https://www.basketball-reference.com/leagues/NBA_1959.html
1957-58,https://www.basketball-reference.com/leagues/NBA_1958.html
1956-57,https://www.basketball-reference.com/leagues/NBA_1957.html
1955-56,https://www.basketball-reference.com/leagues/NBA_1956.html
1954-55,https://www.basketball-reference.com/leagues/NBA_1955.html
1953-54,https://www.basketball-reference.com/leagues/NBA_1954.html
1952-53,https://www.basketball-reference.com/leagues/NBA_1953.html
1951-52,https://www.basketball-reference.com/leagues/NBA_1952.html
1950-51,https://www.basketball-reference.com/leagues/NBA_1951.html
1949-50,https://www.basketball-reference.com/leagues/NBA_1950.html
2025-26,https://www.basketball-reference.com/leagues/NBA_2026.html
2024-25,https://www.basketball-reference.com/leagues/NBA_2025.html
2023-24,https://www.basketball-reference.com/leagues/NBA_2024.html
2022-23,https://www.basketball-reference.com/leagues/NBA_2023.html
2021-22,https://www.basketball-reference.com/leagues/NBA_2022.html
